Date,Buy & Hold VOO,60/40 annual rebalance,VOO 200-day trend,Momentum top 1
2011-09-08,10000.0,10000.0,10000.0,10000.0
2011-09-09,9990.0075,9990.0075,9990.0075,9990.0075
2011-09-12,10061.6379,10021.0756,9990.0075,10061.6379
2011-09-13,10144.5744,10066.5484,9987.8321,10144.5744
2011-09-14,10287.824,10161.0741,9987.8321,10287.824
2011-09-15,10465.008,10259.7632,9987.8321,10465.008
2011-09-16,10527.2097,10295.6551,9987.8321,10527.2097
2011-09-19,10429.1914,10249.229,9990.0075,10429.1914
2011-09-20,10412.2284,10244.2913,9990.0075,10412.2284
2011-09-21,10097.4507,10066.3831,9990.0075,10097.4507
2011-09-22,9780.7853,9885.9125,9987.8321,9780.7853
2011-09-23,9826.2778,9899.869,9990.0075,9826.2778
2011-09-26,10065.111,10030.7808,9990.0075,10065.111
2011-09-27,10180.7375,10092.059,9987.8321,10180.7375
2011-09-28,9977.9194,9961.7958,9990.0075,9977.9194
2011-09-29,10049.945,10004.5336,9990.0075,10049.945
2011-09-30,9811.1136,9875.9998,9990.0075,9811.1136
2011-10-03,9509.7294,9717.8089,9990.0075,9509.7294
2011-10-04,9718.2324,9827.1502,9990.0075,9698.8154
2011-10-05,9911.5741,9925.9629,9990.0075,9657.0895
2011-10-06,10103.0214,10038.4411,9987.8321,9651.2886
2011-10-07,10025.3053,9983.2152,9990.0075,9630.4256
2011-10-10,10364.5981,10181.0598,9987.8321,9616.5163
2011-10-11,10360.8094,10176.8745,9990.0075,9611.8755
2011-10-12,10455.583,10232.7826,9987.8321,9609.5552
2011-10-13,10440.4198,10228.4614,9990.0075,9621.1482
2011-10-14,10612.9115,10324.7926,9987.8321,9603.7617
2011-10-17,10413.8793,10219.2253,9987.8321,9637.3806
2011-10-18,10622.3898,10340.0324,9990.0075,9626.9464
2011-10-19,10489.7038,10270.9271,9990.0075,9652.4453
2011-10-20,10537.0916,10297.4508,9990.0075,9647.8121
2011-10-21,10739.9106,10412.9345,9987.8321,9632.746
2011-10-24,10876.3825,10497.6833,9987.8321,9639.701
2011-10-25,10665.9832,10391.9773,9990.0075,9689.5359
2011-10-26,10768.3418,10443.3641,9990.0075,9665.1972
