regime,start,end,Buy & Hold VOO,60/40 annual rebalance,VOO 200-day trend,Momentum top 1
2018-09-20 crash: fall,2018-09-20,2018-12-24,-0.194768,-0.116782,-0.192858,-0.194768
2018-09-20 crash: recovery,2018-12-24,2019-04-12,0.246014,0.157019,0.088442,0.086038
2020-02-19 crash: fall,2020-02-19,2020-03-23,-0.33993,-0.212284,-0.33993,-0.33993
2020-02-19 crash: recovery,2020-03-23,2020-08-10,0.517319,0.299564,0.234353,0.208641
2022-01-03 crash: fall,2022-01-03,2022-10-12,-0.245207,-0.205246,-0.164508,-0.120749
2022-01-03 crash: recovery,2022-10-12,2023-12-13,0.342103,0.228918,0.084497,0.130249
2025-02-19 crash: fall,2025-02-19,2025-04-08,-0.186894,-0.10995,-0.077357,-0.186894
2025-02-19 crash: recovery,2025-04-08,2025-06-26,0.235167,0.139292,0.033919,0.231552
benchmark up months (average),,126 months,0.033287,0.021741,0.023535,0.019936
benchmark down months (average),,54 months,-0.034183,-0.02224,-0.029199,-0.025561
