year,Buy & Hold VOO,60/40 annual rebalance,VOO 200-day trend,Momentum top 1
2011,0.095478,0.061141,-0.001391,-0.019844
2012,0.159928,0.107578,0.138531,0.063478
2013,0.323864,0.184514,0.323864,0.110848
2014,0.12928,0.100163,0.12928,0.126072
2015,0.013251,0.009904,-0.070602,-0.066688
2016,0.121667,0.083317,0.084616,-0.080432
2017,0.217736,0.146445,0.217736,0.202418
2018,-0.045007,-0.025885,-0.042742,-0.071353
2019,0.31365,0.225839,0.078046,0.040255
2020,0.183244,0.140591,-0.037421,-0.057471
2021,0.287945,0.165471,0.287945,0.254897
2022,-0.18174,-0.16075,-0.204403,-0.108274
2023,0.263239,0.181063,0.162091,0.137153
2024,0.24976,0.155396,0.24976,0.24976
2025,0.178233,0.13555,0.119126,0.157185
2026,0.143483,0.081986,0.043424,0.210905
