month,VOO,VTI,VT,EWJ,BND,BIL
2010-09,0.035598,0.039372,0.044543,0.016444,0.00928,0.0
2010-10,0.037754,0.04026,0.037955,0.013145,0.00319,0.000219
2010-11,-0.001108,0.005105,-0.026458,0.02495,-0.006814,0.0
2010-12,0.06921,0.069594,0.076608,0.069594,-0.010206,-0.000219
2011-01,0.022234,0.020484,0.014017,0.001833,0.000873,0.0
2011-02,0.034665,0.036975,0.029297,0.054895,0.002934,0.0
2011-03,2.3e-05,0.004185,-0.000602,-0.104944,-0.001473,0.0
2011-04,0.029363,0.028962,0.043522,0.020349,0.014638,0.0
2011-05,-0.011699,-0.010609,-0.02268,-0.024691,0.011803,0.000219
2011-06,-0.016811,-0.017996,-0.013372,0.024435,-0.003755,0.0
2011-07,-0.02055,-0.022661,-0.021527,0.026846,0.016271,0.0
2011-08,-0.055161,-0.060883,-0.07252,-0.080299,0.016591,0.0
2011-09,-0.067856,-0.07572,-0.107182,-0.039594,0.006646,-0.000219
2011-10,0.107419,0.113652,0.112669,-0.006343,0.001126,-0.000436
2011-11,-0.002966,-0.003734,-0.012381,0.003192,-0.0006,0.000218
2011-12,0.011262,0.009771,-0.010278,-0.022316,0.011804,-0.000174
2012-01,0.044735,0.0507,0.054655,0.048299,0.006344,-0.000218
2012-02,0.042819,0.042185,0.04765,0.046073,0.000406,0.000219
2012-03,0.033026,0.030677,0.011737,0.019019,-0.005077,-0.000218
2012-04,-0.006369,-0.006365,-0.011808,-0.043222,0.011035,0.000219
2012-05,-0.060038,-0.062256,-0.089308,-0.087269,0.009315,0.0
2012-06,0.041358,0.040451,0.051336,0.068693,0.000665,-0.000436
2012-07,0.012042,0.008752,0.007226,-0.044633,0.012317,0.0
2012-08,0.025067,0.027022,0.024782,0.007787,0.001611,0.0
2012-09,0.025517,0.024914,0.031074,0.012141,0.001812,0.0
2012-10,-0.019569,-0.018058,-0.006038,-0.011995,-0.001012,0.000218
2012-11,0.005725,0.007743,0.015291,0.029801,0.000589,-0.000218
2012-12,0.010134,0.012928,0.031079,0.056269,-0.008765,0.0
2013-01,0.051695,0.054176,0.040065,0.022565,-0.006903,0.0
2013-02,0.013273,0.012815,-0.003113,0.024072,0.005355,0.0
2013-03,0.036124,0.039486,0.023533,0.057787,0.000791,0.0
2013-04,0.020939,0.016057,0.026778,0.083333,0.010151,-0.000219
2013-05,0.023243,0.024434,-0.005588,-0.073504,-0.019258,0.000219
2013-06,-0.015078,-0.014367,-0.026715,0.039533,-0.016478,-0.000219
2013-07,0.053041,0.057457,0.05164,0.0,0.003804,0.0
2013-08,-0.030817,-0.030314,-0.024552,-0.031194,-0.008584,0.0
2013-09,0.033897,0.038972,0.055875,0.096596,0.011139,-0.000218
2013-10,0.044676,0.04267,0.037084,-0.000839,0.008574,-0.000218
2013-11,0.02996,0.027027,0.015449,0.012595,-0.002943,-0.000219
2013-12,0.026373,0.027335,0.021968,0.014242,-0.006368,0.0
2014-01,-0.035294,-0.031693,-0.044445,-0.066722,0.01549,0.0
2014-02,0.045655,0.048665,0.05215,0.024713,0.004697,0.000219
2014-03,0.008804,0.005094,0.004866,-0.024117,-0.001697,-0.000219
2014-04,0.007237,0.000616,0.007374,-0.022065,0.008025,0.0
2014-05,0.022945,0.02102,0.020462,0.045126,0.01053,0.0
2014-06,0.020889,0.026212,0.022065,0.046824,0.000841,-0.000218
2014-07,-0.013766,-0.019947,-0.017516,-0.003322,-0.002779,-0.000219
2014-08,0.039726,0.041508,0.026496,-0.016666,0.011415,0.000219
2014-09,-0.013806,-0.020966,-0.033359,-0.002543,-0.005716,0.0
2014-10,0.024032,0.027459,0.00944,0.024639,0.007227,-0.000219
2014-11,0.027578,0.024803,0.012634,-0.036484,0.00831,0.0
2014-12,-0.008578,-0.000383,-0.019819,-0.026942,0.000568,-0.000218
2015-01,-0.028716,-0.027358,-0.016301,0.022242,0.024038,-0.000219
2015-02,0.055795,0.05742,0.05952,0.074848,-0.013067,0.0
2015-03,-0.015707,-0.011628,-0.012138,0.014575,0.005452,0.0
2015-04,0.010042,0.006154,0.025491,0.026337,-0.003234,-0.000218
