Date,VOO,VTI,VT,EWJ,BND,BIL
2011-09-08,0.095355,0.101974,0.041508,-0.013597,0.062062,-0.000218
2011-09-09,0.061757,0.068726,0.007089,-0.043443,0.064247,0.0
2011-09-12,0.056088,0.062778,-0.009507,-0.043872,0.058358,0.0
2011-09-13,0.065,0.073616,-0.003145,-0.030396,0.055674,-0.000436
2011-09-14,0.077321,0.085292,0.007092,-0.02434,0.05898,-0.000436
2011-09-15,0.096299,0.10461,0.026615,5.2e-05,0.058635,-0.000436
2011-09-16,0.101748,0.109343,0.031771,0.013546,0.057221,-0.000218
2011-09-19,0.074033,0.079856,-0.003362,-0.018156,0.059737,0.0
2011-09-20,0.075563,0.078605,-0.002916,-0.008182,0.057263,0.0
2011-09-21,0.048655,0.049104,-0.032423,-0.017601,0.059261,0.0
2011-09-22,0.024225,0.025656,-0.06299,-0.029209,0.061522,-0.000218
2011-09-23,0.008397,0.010178,-0.076312,-0.038908,0.060441,-0.000219
2011-09-26,0.037856,0.038475,-0.053171,-0.038633,0.052681,-0.000219
2011-09-27,0.042981,0.045672,-0.040926,-0.027198,0.048262,-0.000218
2011-09-28,0.027094,0.02359,-0.060955,-0.032057,0.047145,0.0
2011-09-29,0.036094,0.033379,-0.045238,-0.002855,0.047525,0.0
2011-09-30,0.007994,0.003415,-0.082405,-0.030489,0.052272,0.0
2011-10-03,-0.01469,-0.021106,-0.097234,-0.027211,0.055553,-0.000219
2011-10-04,-0.01472,-0.017019,-0.100569,-0.045126,0.051152,0.0
2011-10-05,0.006589,0.0041,-0.085872,-0.059491,0.044227,0.0
2011-10-06,0.026613,0.024918,-0.061414,-0.059196,0.041838,-0.000218
2011-10-07,0.011076,0.008799,-0.074884,-0.068758,0.040841,0.0
2011-10-10,0.047061,0.041952,-0.039745,-0.04306,0.039714,-0.000218
2011-10-11,0.040621,0.039149,-0.044756,-0.042578,0.040217,0.0
2011-10-12,0.043903,0.040852,-0.036408,-0.039405,0.038334,-0.000218
2011-10-13,0.046273,0.042264,-0.042071,-0.045984,0.043619,-0.000219
2011-10-14,0.061581,0.060349,-0.025046,-0.036454,0.044136,-0.000218
2011-10-17,0.034173,0.033202,-0.050935,-0.047039,0.043861,-0.000436
2011-10-18,0.071897,0.069608,-0.011397,-0.029532,0.04122,0.0
2011-10-19,0.04731,0.044931,-0.042063,-0.052079,0.044356,0.0
2011-10-20,0.050481,0.047927,-0.042143,-0.042867,0.044739,0.0
2011-10-21,0.068127,0.064501,-0.021394,-0.040405,0.043738,-0.000436
2011-10-24,0.07851,0.078775,-0.010949,-0.031353,0.043861,-0.000218
2011-10-25,0.057841,0.056978,-0.024666,-0.035858,0.052184,-0.000219
2011-10-26,0.071351,0.070499,-0.003136,-0.030949,0.05171,-0.000219
2011-10-27,0.107495,0.107477,0.034106,0.003515,0.042739,-0.000218
2011-10-28,0.107806,0.107025,0.029705,0.011575,0.04461,-0.000436
2011-10-31,0.078775,0.078815,-0.007588,-0.037609,0.049278,-0.000654
2011-11-01,0.042089,0.04188,-0.047593,-0.056552,0.055287,0.000218
2011-11-02,0.054083,0.054724,-0.035808,-0.056336,0.05351,-0.000218
2011-11-03,0.053815,0.054695,-0.036566,-0.070575,0.047583,-0.000436
2011-11-04,0.04368,0.044335,-0.044392,-0.080629,0.053528,-0.000218
2011-11-07,0.050993,0.051015,-0.036764,-0.072772,0.053524,0.0
2011-11-08,0.071975,0.072019,-0.0161,-0.070408,0.055626,0.0
2011-11-09,0.029368,0.026719,-0.063595,-0.097761,0.057273,-0.000218
2011-11-10,0.042053,0.038651,-0.049604,-0.093504,0.055626,0.000218
2011-11-11,0.075761,0.072774,-0.015565,-0.07652,0.059637,-0.000436
2011-11-14,0.066332,0.063751,-0.029506,-0.080484,0.064839,-0.000219
2011-11-15,0.089383,0.087509,-0.008997,-0.064047,0.060686,-0.000436
2011-11-16,0.071021,0.067586,-0.026837,-0.094679,0.062457,-0.000219
2011-11-17,0.038465,0.035626,-0.061901,-0.11617,0.061949,0.0
2011-11-18,0.034524,0.029953,-0.061034,-0.113139,0.061055,0.0
2011-11-21,0.016893,0.010662,-0.079168,-0.128073,0.057697,0.0
2011-11-22,0.025896,0.020405,-0.058159,-0.104148,0.058577,-0.000218
2011-11-23,-0.008589,-0.01813,-0.096915,-0.140023,0.064779,-0.000219
2011-11-25,-0.005944,-0.014574,-0.089577,-0.125787,0.060785,-0.000219
2011-11-28,0.024734,0.016579,-0.050227,-0.105419,0.060007,-0.000219
2011-11-29,0.034949,0.026082,-0.038035,-0.097109,0.058098,-0.000654
2011-11-30,0.053601,0.047029,-0.019031,-0.086127,0.06232,-0.000218
2011-12-01,0.039334,0.033763,-0.040985,-0.107245,0.062893,-0.000436
2011-12-02,0.036198,0.030016,-0.046057,-0.109415,0.064639,-0.000436
2011-12-05,0.048761,0.041609,-0.032034,-0.10693,0.06124,-0.000218
2011-12-06,0.049295,0.040941,-0.03338,-0.106516,0.067567,0.0
2011-12-07,0.048451,0.040719,-0.031787,-0.096579,0.074552,-0.000218
2011-12-08,0.022023,0.013483,-0.0606,-0.120299,0.076065,-0.000436
2011-12-09,0.033119,0.024949,-0.047023,-0.097645,0.076966,-0.000654
2011-12-12,0.017708,0.00892,-0.075241,-0.124588,0.075316,-0.000654
2011-12-13,0.007507,-0.002181,-0.086144,-0.131618,0.084891,-0.000654
2011-12-14,0.00062,-0.009285,-0.088661,-0.135432,0.090373,-0.000218
2011-12-15,-0.001415,-0.011492,-0.090392,-0.142147,0.087398,-0.000436
2011-12-16,-0.0021,-0.010013,-0.086233,-0.142589,0.08374,-0.000436
2011-12-19,-0.014346,-0.024127,-0.098462,-0.155693,0.082681,-0.000436
2011-12-20,0.008878,0.000427,-0.077385,-0.139133,0.079283,-0.000436
2011-12-21,0.008212,-0.001463,-0.082074,-0.150872,0.077527,-0.000218
2011-12-22,0.019326,0.010301,-0.069736,-0.144384,0.080797,-0.000218
2011-12-23,0.026609,0.017378,-0.064708,-0.140137,0.079159,-0.000218
2011-12-27,0.026603,0.016595,-0.065413,-0.156811,0.083606,-0.000654
2011-12-28,0.013126,0.002648,-0.085835,-0.17475,0.081389,-0.000392
2011-12-29,0.023944,0.013771,-0.074324,-0.151013,0.082161,-0.00061
2011-12-30,0.018975,0.009686,-0.075086,-0.147576,0.079297,-0.000392
2012-01-03,0.024441,0.013517,-0.066137,-0.138628,0.077278,-0.000829
2012-01-04,0.027082,0.015996,-0.064586,-0.140336,0.077661,-0.000829
2012-01-05,0.024952,0.014932,-0.069863,-0.144314,0.081997,-0.000829
2012-01-06,0.024608,0.014921,-0.070315,-0.153645,0.081698,-0.000829
2012-01-09,0.028303,0.019578,-0.063973,-0.15394,0.078557,-0.000392
2012-01-10,0.037975,0.028906,-0.045579,-0.143713,0.075491,-0.00061
2012-01-11,0.035642,0.026702,-0.055232,-0.153599,0.080222,-0.000829
2012-01-12,0.028742,0.020039,-0.066468,-0.164841,0.079343,-0.00061
2012-01-13,0.025798,0.016811,-0.07411,-0.162262,0.079211,-0.00061
2012-01-17,0.021276,0.012553,-0.071853,-0.162262,0.079786,-0.00061
2012-01-18,0.030926,0.022168,-0.062372,-0.154465,0.080604,-0.00061
2012-01-19,0.046866,0.040855,-0.045648,-0.146547,0.078226,-0.000829
2012-01-20,0.048117,0.044321,-0.038398,-0.127754,0.080195,-0.000829
2012-01-23,0.046839,0.042891,-0.039723,-0.115263,0.076746,-0.00061
2012-01-24,0.038905,0.036927,-0.04959,-0.12922,0.077139,-0.00061
2012-01-25,0.04842,0.045816,-0.035278,-0.126034,0.077422,-0.000829
2012-01-26,0.037614,0.034529,-0.044747,-0.126299,0.084035,-0.00061
2012-01-27,0.034844,0.032203,-0.046415,-0.122491,0.083813,-0.000829
2012-01-30,0.049952,0.046837,-0.031137,-0.112832,0.082811,-0.000392
2012-01-31,0.041404,0.039582,-0.03802,-0.108039,0.085197,-0.00061
2012-02-01,0.035112,0.034565,-0.043266,-0.120146,0.086185,-0.00061
2012-02-02,0.0389,0.037614,-0.037393,-0.126021,0.089097,-0.00061
2012-02-03,0.050975,0.050731,-0.02508,-0.130253,0.091359,-0.00061
2012-02-06,0.046639,0.047175,-0.02875,-0.132951,0.095596,-0.00061
2012-02-07,0.043264,0.042649,-0.027992,-0.123184,0.09402,-0.00061
2012-02-08,0.040636,0.039701,-0.029171,-0.124985,0.096167,-0.000392
2012-02-09,0.044398,0.044089,-0.021651,-0.12151,0.093671,-0.000829
2012-02-10,0.036966,0.034655,-0.029391,-0.131555,0.097918,-0.000392
2012-02-13,0.038375,0.035743,-0.026597,-0.123312,0.09405,-0.00061
2012-02-14,0.034319,0.031559,-0.032871,-0.133661,0.094246,-0.000392
2012-02-15,0.033527,0.030411,-0.032583,-0.113164,0.091297,-0.000829
2012-02-16,0.038119,0.035942,-0.026623,-0.116623,0.091016,-0.00061
2012-02-17,0.036725,0.03368,-0.029403,-0.123352,0.086899,-0.000829
