Date,VOO,VTI,VT,EWJ,BND,BIL
2011-09-08,0.185653,0.194001,0.217206,0.220854,0.041929,0.002524
2011-09-09,0.187516,0.195765,0.219128,0.221963,0.041907,0.002533
2011-09-12,0.187238,0.195488,0.218582,0.221943,0.041967,0.002533
2011-09-13,0.187406,0.195728,0.218764,0.222591,0.041969,0.002533
2011-09-14,0.187902,0.196197,0.219044,0.222622,0.041996,0.002533
2011-09-15,0.188654,0.196935,0.219664,0.22253,0.042011,0.002533
2011-09-16,0.188734,0.196982,0.219653,0.222744,0.042009,0.002524
2011-09-19,0.188317,0.196631,0.219984,0.222538,0.042105,0.002533
2011-09-20,0.188296,0.196651,0.219983,0.222261,0.041979,0.002533
2011-09-21,0.190683,0.199304,0.222122,0.222596,0.04205,0.002533
2011-09-22,0.193103,0.201515,0.225757,0.223125,0.042104,0.002542
2011-09-23,0.192084,0.200485,0.224676,0.222745,0.042178,0.002542
2011-09-26,0.193538,0.201807,0.225662,0.222752,0.042115,0.002542
2011-09-27,0.193764,0.202115,0.226405,0.223292,0.042128,0.002542
2011-09-28,0.194748,0.203417,0.227441,0.223235,0.042174,0.002552
2011-09-29,0.194867,0.203527,0.227867,0.223621,0.042169,0.002552
2011-09-30,0.196308,0.204997,0.229796,0.225099,0.042304,0.002552
2011-10-03,0.198536,0.207476,0.23097,0.224841,0.042593,0.002542
2011-10-04,0.198532,0.207949,0.23061,0.222928,0.042794,0.002533
2011-10-05,0.199516,0.208947,0.231368,0.22269,0.042978,0.002533
2011-10-06,0.200438,0.209827,0.232656,0.222696,0.042958,0.002542
2011-10-07,0.200455,0.209926,0.232727,0.222698,0.042999,0.002551
2011-10-10,0.203262,0.212707,0.235693,0.224176,0.043026,0.002561
2011-10-11,0.203186,0.212682,0.235721,0.224157,0.043016,0.00257
2011-10-12,0.203301,0.212748,0.236297,0.224227,0.042994,0.002579
2011-10-13,0.203269,0.212734,0.236359,0.224118,0.042818,0.002579
2011-10-14,0.203912,0.213488,0.236965,0.223993,0.042792,0.002579
2011-10-17,0.204682,0.214414,0.238191,0.223922,0.04277,0.00257
2011-10-18,0.204996,0.214827,0.238051,0.22395,0.042769,0.00257
2011-10-19,0.205133,0.215035,0.237936,0.224342,0.042838,0.00257
2011-10-20,0.205174,0.215073,0.237937,0.224005,0.042831,0.00257
2011-10-21,0.206039,0.215857,0.239127,0.224113,0.042859,0.00257
2011-10-24,0.206393,0.216461,0.239569,0.224356,0.04286,0.00256
2011-10-25,0.207333,0.217454,0.240206,0.224605,0.043047,0.00256
2011-10-26,0.207512,0.217693,0.240494,0.224596,0.043073,0.00256
2011-10-27,0.210302,0.220359,0.244407,0.227885,0.043285,0.00256
2011-10-28,0.210302,0.220358,0.244429,0.227882,0.043391,0.002551
2011-10-31,0.211923,0.221866,0.247224,0.235002,0.0436,0.00256
2011-11-01,0.213493,0.223372,0.248604,0.235237,0.044172,0.00256
2011-11-02,0.21402,0.223927,0.249185,0.23524,0.04417,0.00256
2011-11-03,0.213998,0.223925,0.249118,0.234225,0.044155,0.002569
2011-11-04,0.214051,0.223958,0.249257,0.234059,0.043949,0.002579
2011-11-07,0.214116,0.224005,0.249279,0.234224,0.043949,0.002588
2011-11-08,0.214275,0.224163,0.249422,0.234166,0.043754,0.002588
2011-11-09,0.21733,0.227406,0.253642,0.234544,0.043761,0.002597
2011-11-10,0.217482,0.227552,0.253827,0.234481,0.043783,0.002597
2011-11-11,0.21796,0.228017,0.254445,0.234623,0.043537,0.002569
2011-11-14,0.218188,0.22824,0.25489,0.234659,0.043247,0.002579
2011-11-15,0.21762,0.227725,0.254077,0.234012,0.043146,0.002588
2011-11-16,0.218249,0.228366,0.254522,0.234225,0.043178,0.002597
2011-11-17,0.218379,0.228563,0.254222,0.232801,0.043184,0.002588
2011-11-18,0.218375,0.228537,0.254224,0.232846,0.043192,0.002588
2011-11-21,0.219127,0.229308,0.255216,0.233631,0.043109,0.002588
2011-11-22,0.218733,0.228907,0.254127,0.233019,0.043118,0.002597
2011-11-23,0.219392,0.229447,0.254981,0.233444,0.042834,0.002597
2011-11-25,0.219338,0.229368,0.254762,0.232905,0.042816,0.002597
2011-11-28,0.221356,0.231323,0.257493,0.23461,0.042814,0.002597
2011-11-29,0.221256,0.231253,0.257355,0.234613,0.042847,0.002633
2011-11-30,0.223874,0.2341,0.260165,0.236039,0.042438,0.002633
2011-12-01,0.223512,0.233761,0.259557,0.23622,0.042428,0.002642
2011-12-02,0.223502,0.233744,0.25951,0.236171,0.042512,0.002642
2011-12-05,0.223749,0.233988,0.259772,0.236247,0.0424,0.002633
2011-12-06,0.22375,0.233987,0.259782,0.236225,0.041761,0.002642
2011-12-07,0.223738,0.233985,0.259798,0.236638,0.041414,0.002651
2011-12-08,0.224775,0.235079,0.261192,0.237854,0.041457,0.002642
2011-12-09,0.225324,0.235658,0.261836,0.238974,0.041395,0.002651
2011-12-12,0.225798,0.23617,0.262782,0.23917,0.041337,0.002651
2011-12-13,0.226005,0.236419,0.262982,0.239165,0.040857,0.002651
2011-12-14,0.226244,0.236659,0.263094,0.239316,0.040741,0.002651
2011-12-15,0.226201,0.236614,0.263058,0.239244,0.040704,0.00266
2011-12-16,0.226198,0.23663,0.263051,0.23925,0.040359,0.00266
2011-12-19,0.226423,0.236906,0.263316,0.239647,0.040364,0.00266
2011-12-20,0.228294,0.238896,0.265161,0.24099,0.040424,0.00266
2011-12-21,0.228285,0.238874,0.265154,0.241138,0.040514,0.002651
2011-12-22,0.228468,0.23909,0.265407,0.241247,0.040521,0.002651
2011-12-23,0.228598,0.239206,0.265478,0.241366,0.040456,0.002651
2011-12-27,0.228598,0.239205,0.265481,0.241514,0.039969,0.002651
2011-12-28,0.228937,0.239521,0.265802,0.241597,0.039732,0.002642
2011-12-29,0.229105,0.239714,0.26607,0.242383,0.039735,0.002633
2011-12-30,0.229139,0.239758,0.266061,0.242488,0.039618,0.002624
2012-01-03,0.229421,0.239952,0.266577,0.243143,0.039736,0.002624
2012-01-04,0.229423,0.239943,0.266573,0.24314,0.039736,0.002624
2012-01-05,0.229386,0.239922,0.266621,0.243312,0.039464,0.002624
2012-01-06,0.229389,0.239922,0.266634,0.243533,0.039461,0.002624
2012-01-09,0.229382,0.239918,0.266639,0.243528,0.039314,0.002624
