year,VOO,VTI,VT,EWJ,BND,BIL
2010,0.147802,0.162367,0.136363,0.128955,-0.004663,0.0
2011,0.018975,0.009686,-0.075086,-0.147576,0.079297,-0.000392
2012,0.159928,0.164513,0.171248,0.092202,0.02941,-0.000436
2013,0.323864,0.334498,0.229377,0.259968,-0.021075,-0.000874
2014,0.12928,0.125493,0.036801,-0.062262,0.058178,-0.000655
2015,0.013251,0.003551,-0.018614,0.091708,0.005591,-0.001312
2016,0.121667,0.128177,0.084975,0.027618,0.025215,0.001095
2017,0.217736,0.212134,0.244964,0.242643,0.039993,0.006891
2018,-0.045007,-0.052348,-0.097631,-0.14101,0.00116,0.017373
2019,0.31365,0.306686,0.268139,0.193378,0.088339,0.020319
2020,0.183244,0.210762,0.165877,0.15401,0.07715,0.003986
2021,0.287945,0.256819,0.182663,0.011554,-0.018611,-0.000983
2022,-0.18174,-0.195234,-0.180034,-0.177233,-0.131122,0.014046
2023,0.263239,0.26047,0.220218,0.202932,0.056543,0.049449
2024,0.24976,0.238102,0.164931,0.070347,0.013827,0.05193
2025,0.178233,0.170983,0.224339,0.258406,0.070823,0.041471
2026,0.143483,0.143537,0.150335,0.219869,-0.00992,0.025799
