model,feature_set,feature,kind,value
logistic_regression,base,ret_1d,coefficient,-0.02684127739
logistic_regression,base,ret_5d,coefficient,0.09723792947
logistic_regression,base,ret_20d,coefficient,-0.05459298371
logistic_regression,base,ret_60d,coefficient,-0.1925226892
logistic_regression,base,ret_120d,coefficient,-0.03294116845
logistic_regression,base,ret_252d,coefficient,0.03168860122
logistic_regression,base,vol_20d,coefficient,-0.1399860107
logistic_regression,base,vol_60d,coefficient,0.06239052909
logistic_regression,base,ma200_gap,coefficient,-0.2457085563
logistic_regression,base,volume_change,coefficient,0.03908212413
logistic_regression,extended,ret_1d,coefficient,-0.03029147496
logistic_regression,extended,ret_5d,coefficient,0.09678681108
logistic_regression,extended,ret_20d,coefficient,-0.051187017
logistic_regression,extended,ret_60d,coefficient,-0.02921805173
logistic_regression,extended,ret_120d,coefficient,-0.02214488544
logistic_regression,extended,ret_252d,coefficient,-0.02998436338
logistic_regression,extended,vol_20d,coefficient,-0.1433301206
logistic_regression,extended,vol_60d,coefficient,-0.01783601948
logistic_regression,extended,ma200_gap,coefficient,-0.2270632169
logistic_regression,extended,volume_change,coefficient,0.08193552777
logistic_regression,extended,drawdown,coefficient,-0.2090206729
logistic_regression,extended,rolling_sharpe_252d,coefficient,0.100961084
logistic_regression,extended,regime_bull,coefficient,0.2782407111
logistic_regression,extended,regime_high_volatility,coefficient,0.2548464661
logistic_regression,extended,regime_large_drawdown,coefficient,0.04634790473
logistic_regression,extended,rel_ret_60d_vs_VT,coefficient,-0.1892485146
logistic_regression,extended,rel_ret_60d_vs_EWJ,coefficient,0.01082619052
logistic_regression,extended,rel_ret_60d_vs_BND,coefficient,-0.1970353811
logistic_regression,extended,rel_ret_60d_vs_BIL,coefficient,-0.0250373096
random_forest,base,ret_1d,impurity_importance,0.003655831404
random_forest,base,ret_5d,impurity_importance,0.006816911983
random_forest,base,ret_20d,impurity_importance,0.02940800802
random_forest,base,ret_60d,impurity_importance,0.09004078803
random_forest,base,ret_120d,impurity_importance,0.07229628039
random_forest,base,ret_252d,impurity_importance,0.1128521024
random_forest,base,vol_20d,impurity_importance,0.04101127525
random_forest,base,vol_60d,impurity_importance,0.1405702799
random_forest,base,ma200_gap,impurity_importance,0.3733491349
random_forest,base,volume_change,impurity_importance,0.1299993878
random_forest,extended,ret_1d,impurity_importance,0.006988181544
random_forest,extended,ret_5d,impurity_importance,0.013499347
random_forest,extended,ret_20d,impurity_importance,0.02392967042
random_forest,extended,ret_60d,impurity_importance,0.04186785062
random_forest,extended,ret_120d,impurity_importance,0.06642935581
random_forest,extended,ret_252d,impurity_importance,0.07199912388
random_forest,extended,vol_20d,impurity_importance,0.05751796038
random_forest,extended,vol_60d,impurity_importance,0.07870879951
random_forest,extended,ma200_gap,impurity_importance,0.2023426378
random_forest,extended,volume_change,impurity_importance,0.08996823831
random_forest,extended,drawdown,impurity_importance,0.05048352909
random_forest,extended,rolling_sharpe_252d,impurity_importance,0.0708586066
random_forest,extended,regime_bull,impurity_importance,0.003482790921
random_forest,extended,regime_high_volatility,impurity_importance,0.01514502431
random_forest,extended,regime_large_drawdown,impurity_importance,0
random_forest,extended,rel_ret_60d_vs_VT,impurity_importance,0.04817949574
random_forest,extended,rel_ret_60d_vs_EWJ,impurity_importance,0.04683625985
random_forest,extended,rel_ret_60d_vs_BND,impurity_importance,0.07373216453
random_forest,extended,rel_ret_60d_vs_BIL,impurity_importance,0.03803096372
