predictor,segment,bin_lower,bin_upper,observations,mean_predicted,observed_rate
ml:logistic_regression/base,validation,0,0.1,0,,
ml:logistic_regression/base,validation,0.1,0.2,0,,
ml:logistic_regression/base,validation,0.2,0.3,0,,
ml:logistic_regression/base,validation,0.3,0.4,4,0.3562969921,1
ml:logistic_regression/base,validation,0.4,0.5,75,0.4658982167,0.8266666667
ml:logistic_regression/base,validation,0.5,0.6,242,0.558146243,0.7520661157
ml:logistic_regression/base,validation,0.6,0.7,116,0.6373313111,0.5431034483
ml:logistic_regression/base,validation,0.7,0.8,89,0.7538397553,0.2471910112
ml:logistic_regression/base,validation,0.8,0.9,172,0.8502862691,0.6220930233
ml:logistic_regression/base,validation,0.9,1,38,0.9207136198,0.9736842105
ml:logistic_regression/base,test,0,0.1,0,,
ml:logistic_regression/base,test,0.1,0.2,0,,
ml:logistic_regression/base,test,0.2,0.3,0,,
ml:logistic_regression/base,test,0.3,0.4,0,,
ml:logistic_regression/base,test,0.4,0.5,0,,
ml:logistic_regression/base,test,0.5,0.6,22,0.5809616119,0.8181818182
ml:logistic_regression/base,test,0.6,0.7,625,0.6627528008,0.6784
ml:logistic_regression/base,test,0.7,0.8,263,0.729213957,0.7908745247
ml:logistic_regression/base,test,0.8,0.9,2,0.8049556958,1
ml:logistic_regression/base,test,0.9,1,0,,
ml:logistic_regression/extended,validation,0,0.1,0,,
ml:logistic_regression/extended,validation,0.1,0.2,0,,
ml:logistic_regression/extended,validation,0.2,0.3,0,,
ml:logistic_regression/extended,validation,0.3,0.4,16,0.3848528599,0.375
ml:logistic_regression/extended,validation,0.4,0.5,95,0.4651498495,0.7157894737
ml:logistic_regression/extended,validation,0.5,0.6,196,0.5516488189,0.6836734694
ml:logistic_regression/extended,validation,0.6,0.7,80,0.6490177956,0.725
ml:logistic_regression/extended,validation,0.7,0.8,105,0.7487902865,0.6761904762
ml:logistic_regression/extended,validation,0.8,0.9,88,0.8498612502,0.2954545455
ml:logistic_regression/extended,validation,0.9,1,156,0.9532821773,0.7307692308
ml:logistic_regression/extended,test,0,0.1,0,,
ml:logistic_regression/extended,test,0.1,0.2,0,,
ml:logistic_regression/extended,test,0.2,0.3,0,,
ml:logistic_regression/extended,test,0.3,0.4,2,0.3725201063,1
ml:logistic_regression/extended,test,0.4,0.5,15,0.4762290184,0.6
ml:logistic_regression/extended,test,0.5,0.6,142,0.5618112914,0.5704225352
ml:logistic_regression/extended,test,0.6,0.7,286,0.6509645891,0.7657342657
ml:logistic_regression/extended,test,0.7,0.8,293,0.7493676354,0.8156996587
ml:logistic_regression/extended,test,0.8,0.9,142,0.8413663449,0.5422535211
ml:logistic_regression/extended,test,0.9,1,32,0.9185442557,0.78125
ml:random_forest/base,validation,0,0.1,0,,
ml:random_forest/base,validation,0.1,0.2,1,0.1759760557,0
ml:random_forest/base,validation,0.2,0.3,67,0.2694235182,0.6417910448
ml:random_forest/base,validation,0.3,0.4,119,0.3506326972,0.7226890756
ml:random_forest/base,validation,0.4,0.5,80,0.4375160935,0.8625
ml:random_forest/base,validation,0.5,0.6,48,0.5542288558,0.8958333333
ml:random_forest/base,validation,0.6,0.7,83,0.6595726266,0.421686747
ml:random_forest/base,validation,0.7,0.8,146,0.737594938,0.5410958904
ml:random_forest/base,validation,0.8,0.9,192,0.8550701686,0.6354166667
ml:random_forest/base,validation,0.9,1,0,,
ml:random_forest/base,test,0,0.1,0,,
ml:random_forest/base,test,0.1,0.2,0,,
ml:random_forest/base,test,0.2,0.3,0,,
ml:random_forest/base,test,0.3,0.4,0,,
ml:random_forest/base,test,0.4,0.5,36,0.476891175,0.5
ml:random_forest/base,test,0.5,0.6,26,0.5568133055,0.4230769231
ml:random_forest/base,test,0.6,0.7,583,0.6603305253,0.7392795883
ml:random_forest/base,test,0.7,0.8,257,0.7117846506,0.7081712062
ml:random_forest/base,test,0.8,0.9,10,0.8392559068,1
ml:random_forest/base,test,0.9,1,0,,
ml:random_forest/extended,validation,0,0.1,0,,
ml:random_forest/extended,validation,0.1,0.2,9,0.1836414902,0.6666666667
