Date,ml:logistic_regression/base,ml:logistic_regression/extended,ml:random_forest/base,ml:random_forest/extended,ml:hist_gradient_boosting/base,ml:hist_gradient_boosting/extended,baseline:always_up,baseline:historical_mean,baseline:momentum_252d,baseline:moving_average_200d,baseline:random
2011-09-08,10000.000000,10000.000000,10000.000000,10000.000000,10000.000000,10000.000000,10000.000000,10000.000000,10000.000000,10000.000000,10000.000000
2011-09-09,9990.007495,9990.007495,9990.007495,9990.007495,9990.007495,9990.007495,9990.007495,9990.007495,9990.007495,9990.007495,9990.007495
2011-09-12,10061.637888,10061.637888,10061.637888,10061.637888,10061.637888,10061.637888,10061.637888,10061.637888,10061.637888,9990.007495,10061.637888
2011-09-13,10144.574449,10144.574449,10144.574449,10144.574449,10144.574449,10144.574449,10144.574449,10144.574449,10144.574449,9987.832067,10144.574449
2011-09-14,10287.823998,10287.823998,10287.823998,10287.823998,10287.823998,10287.823998,10287.823998,10287.823998,10287.823998,9987.832067,10287.823998
2011-09-15,10465.007972,10465.007972,10465.007972,10465.007972,10465.007972,10465.007972,10465.007972,10465.007972,10465.007972,9987.832067,10465.007972
2011-09-16,10527.209691,10527.209691,10527.209691,10527.209691,10527.209691,10527.209691,10527.209691,10527.209691,10527.209691,9987.832067,10527.209691
2011-09-19,10429.191371,10429.191371,10429.191371,10429.191371,10429.191371,10429.191371,10429.191371,10429.191371,10429.191371,9990.007495,10429.191371
2011-09-20,10412.228372,10412.228372,10412.228372,10412.228372,10412.228372,10412.228372,10412.228372,10412.228372,10412.228372,9990.007495,10412.228372
2011-09-21,10097.450743,10097.450743,10097.450743,10097.450743,10097.450743,10097.450743,10097.450743,10097.450743,10097.450743,9990.007495,10097.450743
2011-09-22,9780.785319,9780.785319,9780.785319,9780.785319,9780.785319,9780.785319,9780.785319,9780.785319,9780.785319,9987.832067,9780.785319
2011-09-23,9826.277806,9826.277806,9826.277806,9826.277806,9826.277806,9826.277806,9826.277806,9826.277806,9826.277806,9990.007495,9826.277806
2011-09-26,10065.111019,10065.111019,10065.111019,10065.111019,10065.111019,10065.111019,10065.111019,10065.111019,10065.111019,9990.007495,10065.111019
2011-09-27,10180.737521,10180.737521,10180.737521,10180.737521,10180.737521,10180.737521,10180.737521,10180.737521,10180.737521,9987.832067,10180.737521
2011-09-28,9977.919427,9977.919427,9977.919427,9977.919427,9977.919427,9977.919427,9977.919427,9977.919427,9977.919427,9990.007495,9977.919427
2011-09-29,10049.944984,10049.944984,10049.944984,10049.944984,10049.944984,10049.944984,10049.944984,10049.944984,10049.944984,9990.007495,10049.944984
2011-09-30,9811.113644,9811.113644,9811.113644,9811.113644,9811.113644,9811.113644,9811.113644,9811.113644,9811.113644,9990.007495,9811.113644
2011-10-03,9509.729433,9509.729433,9509.729433,9509.729433,9509.729433,9509.729433,9509.729433,9509.729433,9509.729433,9990.007495,9509.729433
2011-10-04,9718.232448,9718.232448,9718.232448,9718.232448,9718.232448,9718.232448,9718.232448,9718.232448,9698.815405,9990.007495,9698.815405
