Date,ml:logistic_regression/base,ml:logistic_regression/extended,ml:random_forest/base,ml:random_forest/extended,ml:hist_gradient_boosting/base,ml:hist_gradient_boosting/extended,baseline:always_up,baseline:historical_mean,baseline:momentum_252d,baseline:moving_average_200d,baseline:random
2016-01-04,10000.000000,10000.000000,10000.000000,10000.000000,10000.000000,10000.000000,10000.000000,10000.000000,10000.000000,10000.000000,10000.000000
2016-01-05,9990.007495,9990.007495,9990.007495,9990.007495,9990.007495,9990.007495,9990.007495,9990.007495,9990.007495,9990.007495,9990.007495
2016-01-06,9863.398902,9985.632197,9863.398902,9863.398902,9863.398902,9863.398902,9863.398902,9863.398902,9985.632197,9985.632197,9863.398902
2016-01-07,9623.172134,9987.819324,9623.172134,9623.172134,9623.172134,9623.172134,9623.172134,9623.172134,9987.819324,9987.819324,9623.172134
2016-01-08,9520.913808,9987.819324,9520.913808,9520.913808,9520.913808,9520.913808,9520.913808,9520.913808,9987.819324,9987.819324,9520.913808
2016-01-11,9521.994293,9987.819324,9521.994293,9521.994293,9521.994293,9521.994293,9521.994293,9521.994293,9987.819324,9987.819324,9521.994293
2016-01-12,9600.988741,9990.007495,9600.988741,9600.988741,9600.988741,9600.988741,9600.988741,9600.988741,9990.007495,9990.007495,9600.988741
2016-01-13,9366.171285,9987.819324,9366.171285,9366.171285,9366.171285,9366.171285,9366.171285,9366.171285,9987.819324,9987.819324,9366.171285
2016-01-14,9518.208660,9985.632197,9518.208660,9518.208660,9518.208660,9518.208660,9518.208660,9518.208660,9985.632197,9985.632197,9518.208660
2016-01-15,9314.230282,9985.632197,9314.230282,9314.230282,9314.230282,9314.230282,9314.230282,9314.230282,9985.632197,9985.632197,9314.230282
2016-01-19,9324.507679,9987.819324,9324.507679,9324.507679,9324.507679,9324.507679,9324.507679,9324.507679,9987.819324,9987.819324,9324.507679
2016-01-20,9215.219314,9987.819324,9215.219314,9215.219314,9215.219314,9215.219314,9215.219314,9215.219314,9987.819324,9987.819324,9215.219314
2016-01-21,9260.122406,9990.007495,9260.122406,9260.122406,9260.122406,9260.122406,9260.122406,9260.122406,9990.007495,9990.007495,9260.122406
2016-01-22,9450.034803,9985.632197,9450.034803,9450.034803,9450.034803,9450.034803,9450.034803,9450.034803,9985.632197,9985.632197,9450.034803
2016-01-25,9309.905391,9987.819324,9309.905391,9309.905391,9309.905391,9309.905391,9309.905391,9309.905391,9987.819324,9987.819324,9309.905391
2016-01-26,9435.964885,9985.632197,9435.964885,9435.964885,9435.964885,9435.964885,9435.964885,9435.964885,9985.632197,9985.632197,9435.964885
2016-01-27,9328.838474,9987.819324,9328.838474,9328.838474,9328.838474,9328.838474,9328.838474,9328.838474,9987.819324,9987.819324,9328.838474
2016-01-28,9379.698008,9987.819324,9379.698008,9379.698008,9379.698008,9379.698008,9379.698008,9379.698008,9987.819324,9987.819324,9379.698008
2016-01-29,9617.217660,9990.007495,9617.217660,9617.217660,9617.217660,9617.217660,9617.217660,9617.217660,9990.007495,9990.007495,9617.217660
2016-02-01,9608.562958,9985.632197,9608.562958,9608.562958,9608.562958,9608.562958,9608.562958,9608.562958,9985.632197,9985.632197,9608.562958
2016-02-02,9434.345142,9965.680889,9434.345142,9434.345142,9434.345142,9434.345142,9434.345142,9434.345142,9985.632197,9985.632197,9434.345142
2016-02-03,9489.530551,10023.974301,9489.530551,9489.530551,9489.530551,9489.530551,9489.530551,9489.530551,9987.819324,9987.819324,9489.530551
2016-02-04,9501.432611,10036.546677,9501.432611,9501.432611,9501.432611,9501.432611,9501.432611,9501.432611,9990.007495,9990.007495,9501.432611
2016-02-05,9322.884000,9847.942332,9322.884000,9322.884000,9322.884000,9322.884000,9322.884000,9322.884000,9990.007495,9990.007495,9322.884000
2016-02-08,9194.658617,9712.495385,9194.658617,9194.658617,9194.658617,9194.658617,9194.658617,9194.658617,9987.819324,9987.819324,9194.658617
2016-02-09,9197.361796,9715.350806,9197.361796,9197.361796,9197.361796,9197.361796,9197.361796,9197.361796,9990.007495,9990.007495,9197.361796
2016-02-10,9191.408306,9709.062019,9191.408306,9191.408306,9191.408306,9191.408306,9191.408306,9191.408306,9987.819324,9987.819324,9191.408306
2016-02-11,9073.462288,9584.473363,9073.462288,9073.462288,9073.462288,9073.462288,9073.462288,9073.462288,9990.007495,9990.007495,9073.462288
2016-02-12,9259.579212,9781.072263,9259.579212,9259.579212,9259.579212,9259.579212,9259.579212,9259.579212,9987.819324,9987.819324,9259.579212
2016-02-16,9414.863945,9945.102524,9414.863945,9414.863945,9414.863945,9414.863945,9414.863945,9414.863945,9987.819324,9987.819324,9414.863945
2016-02-17,9569.065242,10107.988331,9569.065242,9569.065242,9569.065242,9569.065242,9569.065242,9569.065242,9987.819324,9987.819324,9569.065242
2016-02-18,9528.484089,10065.121675,9528.484089,9528.484089,9528.484089,9528.484089,9528.484089,9528.484089,9990.007495,9990.007495,9528.484089
2016-02-19,9526.321152,10062.836923,9526.321152,9526.321152,9526.321152,9526.321152,9526.321152,9526.321152,9990.007495,9990.007495,9526.321152
