segment,predictor,start,end,total_return,cagr,volatility_annualized,max_drawdown,sharpe_ratio,sortino_ratio,calmar_ratio,final_equity,share_of_decisions_invested,var_95,cvar_95,var_99,cvar_99,trades,total_costs,cagr_minus_buy_and_hold,sharpe_ratio_minus_buy_and_hold,max_drawdown_minus_buy_and_hold,total_return_minus_buy_and_hold
train,ml:logistic_regression/base,2011-09-08,2019-12-31,2.309431406,0.154860744,0.135048984,-0.1947678279,1.097646173,1.565156069,0.7951043336,33094.31406,0.99,0.01409558102,0.02104533386,0.02488488089,0.03118351255,5,59.422124,0.0004667581221,0.008120136754,1.543210004e-14,0.01110159864
train,ml:logistic_regression/extended,2011-09-08,2019-12-31,2.399120728,0.1585819581,0.1346212524,-0.1947678279,1.124611325,1.605788831,0.8142102307,33991.20728,0.98,0.0139290787,0.02101689524,0.02488488089,0.03118351255,9,121.1469447,0.004187972193,0.03508528909,3.319566844e-14,0.1007909216
train,ml:random_forest/base,2011-09-08,2019-12-31,2.978369147,0.1807237893,0.128988644,-0.1947678279,1.314562902,1.908393365,0.9278934372,39783.69147,0.93,0.01315014372,0.02013047861,0.02415921341,0.02975717795,25,556.6201894,0.02632980339,0.2250368661,1.105782133e-13,0.6800393397
train,ml:random_forest/extended,2011-09-08,2019-12-31,3.194031668,0.1882464672,0.1268957392,-0.1947678279,1.384264837,2.019477799,0.9665172592,41940.31668,0.92,0.01275085175,0.01976594839,0.02377505584,0.02971884399,29,662.6090537,0.03385248131,0.2947388007,1.10467191e-13,0.8957018611
train,ml:hist_gradient_boosting/base,2011-09-08,2019-12-31,2.66207251,0.169014548,0.1297708525,-0.1947678279,1.230609103,1.779886345,0.8677744671,36620.7251,0.93,0.01333501746,0.02028952871,0.02436494841,0.02976173724,29,630.0736393,0.01462056218,0.1410830671,1.131317262e-13,0.3637427035
train,ml:hist_gradient_boosting/extended,2011-09-08,2019-12-31,3.246754411,0.190033663,0.125502442,-0.1947678279,1.410054618,2.063294328,0.9756932911,42467.54411,0.92,0.01282292011,0.01944573808,0.02340731417,0.02826944133,29,669.8826417,0.03563967711,0.3205285821,1.105782133e-13,0.9484246039
train,baseline:always_up,2011-09-08,2019-12-31,2.298329807,0.1543939859,0.1357675842,-0.1947678279,1.089526036,1.553416614,0.7927078489,32983.29807,1,0.01418495192,0.02107632875,0.02488488089,0.03118351255,1,9.992504997,0,0,0,0
train,baseline:historical_mean,2011-09-08,2019-12-31,2.298329807,0.1543939859,0.1357675842,-0.1947678279,1.089526036,1.553416614,0.7927078489,32983.29807,1,0.01418495192,0.02107632875,0.02488488089,0.03118351255,1,9.992504997,0,0,0,0
train,baseline:momentum_252d,2011-09-08,2019-12-31,1.301418072,0.1054786264,0.1248046941,-0.1947678279,0.8268873127,1.154207073,0.5415608294,23014.18072,0.92,0.01296149174,0.020102085,0.02445948515,0.03108102486,21,290.7733285,-0.04891535946,-0.2626387235,6.417089082e-14,-0.9969117353
train,baseline:moving_average_200d,2011-09-08,2019-12-31,1.153190257,0.09665978983,0.1156924761,-0.192857666,0.8129349496,1.134048907,0.5011975507,21531.90257,0.87,0.01187434493,0.01863889169,0.02209073655,0.02909631748,23,400.0647411,-0.05773419603,-0.2765910866,0.001910161852,-1.145139549
train,baseline:random,2011-09-08,2019-12-31,0.8738013788,0.0784757104,0.1059179707,-0.1947678279,0.7193674713,1.014956688,0.4029192668,18738.01379,0.65,0.01029880334,0.01778342754,0.02207415243,0.02831529694,97,1415.799883,-0.07591827545,-0.370158565,1.209032874e-13,-1.424528428
validation,ml:logistic_regression/base,2020-01-02,2022-12-30,0.2727949887,0.08394524205,0.2493909723,-0.3399298223,0.4258266512,0.5915859632,0.2469487422,12727.94989,0.9166666667,0.02273314306,0.03869241303,0.04394081046,0.06781607772,13,153.6315062,0.008288274621,0.03344012243,0,0.02890231731
validation,ml:logistic_regression/extended,2020-01-02,2022-12-30,0.2547497724,0.07878533028,0.2463606648,-0.3399298223,0.4086512794,0.567304188,0.231769398,12547.49772,0.8611111111,0.0232999915,0.03871208266,0.04394081046,0.06781607772,13,165.6279115,0.003128362849,0.01626475061,0,0.01085710093
validation,ml:random_forest/base,2020-01-02,2022-12-30,0.08489115708,0.0276022987,0.241514967,-0.3399298223,0.2109247573,0.2922263442,0.08119999156,10848.91157,0.6666666667,0.02199289106,0.0386464258,0.04394081046,0.06781607772,11,121.5309196,-0.04805466873,-0.1814617715,6.661338148e-15,-0.1590015143
validation,ml:random_forest/extended,2020-01-02,2022-12-30,0.08489115708,0.0276022987,0.241514967,-0.3399298223,0.2109247573,0.2922263442,0.08119999156,10848.91157,0.6666666667,0.02199289106,0.0386464258,0.04394081046,0.06781607772,11,121.5309196,-0.04805466873,-0.1814617715,6.661338148e-15,-0.1590015143
validation,ml:hist_gradient_boosting/base,2020-01-02,2022-12-30,0.08489115708,0.0276022987,0.241514967,-0.3399298223,0.2109247573,0.2922263442,0.08119999156,10848.91157,0.6666666667,0.02199289106,0.0386464258,0.04394081046,0.06781607772,11,121.5309196,-0.04805466873,-0.1814617715,6.661338148e-15,-0.1590015143
validation,ml:hist_gradient_boosting/extended,2020-01-02,2022-12-30,0.0008033963008,0.0002684007774,0.2408818279,-0.3399298223,0.09906391262,0.1369609289,0.0007895770238,10008.03396,0.6388888889,0.02199289106,0.0386464258,0.04394081046,0.06781607772,11,114.434351,-0.07538856665,-0.2933226162,6.661338148e-15,-0.2430892751
validation,baseline:always_up,2020-01-02,2022-12-30,0.2438926714,0.07565696743,0.2542111173,-0.3399298223,0.3923865288,0.5434759328,0.2225664312,12438.92671,1,0.02366038548,0.0391104698,0.04394081046,0.06781607772,1,9.992504997,0,0,0,0
validation,baseline:historical_mean,2020-01-02,2022-12-30,0.2438926714,0.07565696743,0.2542111173,-0.3399298223,0.3923865288,0.5434759328,0.2225664312,12438.92671,1,0.02366038548,0.0391104698,0.04394081046,0.06781607772,1,9.992504997,0,0,0,0
validation,baseline:momentum_252d,2020-01-02,2022-12-30,0.10277099,0.03323095474,0.2194229826,-0.3399298223,0.234159424,0.3135831526,0.09775827996,11027.7099,0.75,0.01930177185,0.03645733114,0.04391668273,0.06781607772,7,63.0778104,-0.04242601269,-0.1582271048,0,-0.1411216814
validation,baseline:moving_average_200d,2020-01-02,2022-12-30,-0.01610791499,-0.005411940827,0.2119521353,-0.3399298223,0.05513641173,0.07325985886,-0.01592075914,9838.92085,0.7222222222,0.01812741948,0.03500457549,0.04391668273,0.06781607772,13,128.3791234,-0.08106890825,-0.3372501171,0,-0.2600005864
validation,baseline:random,2020-01-02,2022-12-30,-0.02119149696,-0.007132161663,0.2151809567,-0.3399298223,0.04925143397,0.06712883419,-0.02098127671,9788.08503,0.6111111111,0.01914858715,0.03505139441,0.04142880433,0.06605771243,33,309.4116802,-0.08278912909,-0.3431350948,0,-0.2650841684
test,ml:logistic_regression/base,2023-01-03,2026-09-21,1.117849581,0.2238209949,0.1462830193,-0.1868938123,1.155801692,1.706435543,1.197583762,21178.49581,1,0.01416566642,0.02009967403,0.02261739395,0.03251710488,1,9.992504997,0,0,0,0
