model,feature_set,seed,validation_roc_auc
random_forest,base,0,0.4467756166
random_forest,base,1,0.4497988555
random_forest,base,2,0.4509927717
random_forest,base,3,0.4476417118
random_forest,base,4,0.448297354
random_forest,extended,0,0.4654978429
random_forest,extended,1,0.4570797212
random_forest,extended,2,0.4681932606
random_forest,extended,3,0.4593542329
random_forest,extended,4,0.4601596205
hist_gradient_boosting,base,0,0.4416438001
hist_gradient_boosting,base,1,0.4416438001
hist_gradient_boosting,base,2,0.4416438001
hist_gradient_boosting,base,3,0.4416438001
hist_gradient_boosting,base,4,0.4416438001
hist_gradient_boosting,extended,0,0.4645750872
hist_gradient_boosting,extended,1,0.4645750872
hist_gradient_boosting,extended,2,0.4645750872
hist_gradient_boosting,extended,3,0.4645750872
hist_gradient_boosting,extended,4,0.4645750872
