year,ml:logistic_regression/base,ml:logistic_regression/extended,ml:random_forest/base,ml:random_forest/extended,ml:hist_gradient_boosting/base,ml:hist_gradient_boosting/extended,baseline:always_up,baseline:historical_mean,baseline:momentum_252d,baseline:moving_average_200d,baseline:random
2016,0.1119012799,0.1446688803,0.1344438293,0.1344438293,0.1119012799,0.1344438293,0.1344438293,0.1344438293,0.09916622821,0.09916622821,0.09244343621
2017,0.1679670333,0.1497259845,0.2224877635,0.2177359635,0.1168926705,0.1679670333,0.2177359635,0.2177359635,0.2177359635,0.2177359635,0.1156896791
2018,-0.04500710298,-0.06011474635,-0.04500710298,-0.04500710298,-0.02545331841,-0.02545331841,-0.04500710298,-0.04500710298,-0.04500710298,-0.04274168058,-0.07732130818
2019,0.2870739098,0.2870739098,0.3136503533,0.3136503533,0.3136503533,0.3136503533,0.3136503533,0.3136503533,0.1475253123,0.0780463534,0.009380230236
2020,0.002106709547,0.2574909914,0.2280167234,0.2280167234,0.1968490574,0.1040836619,0.1832438092,0.1832438092,-0.03742054843,-0.03742054843,-0.06620213869
2021,0.2723513256,0.1289223815,0.1085248472,0.2064537149,0.1797124837,0.1797124837,0.2879447747,0.2879447747,0.2879447747,0.2879447747,0.2335000209
2022,-0.1817403922,-0.1487319514,-0.1817403922,-0.1817403922,-0.1817403922,-0.1817403922,-0.1817403922,-0.1817403922,-0.1082744887,-0.2044026543,-0.1414998919
2023,0.2632388833,0.2665109685,0.2632388833,0.2632388833,0.2632388833,0.2632388833,0.2632388833,0.2632388833,0.1424353764,0.1620908916,0.1459367643
2024,0.2497602428,0.2854958887,0.2497602428,0.2497602428,0.2497602428,0.2497602428,0.2497602428,0.2497602428,0.2497602428,0.2497602428,0.142715102
2025,0.178233425,0.1641864774,0.178233425,0.178233425,0.178233425,0.178233425,0.178233425,0.178233425,0.178233425,0.1191256763,0.129477858
2026,0.1434825189,0.1434825189,0.1434825189,0.1434825189,0.1013025035,0.1697389945,0.1434825189,0.1434825189,0.1434825189,0.04342445133,0.03301573712
