Date,US equity,Global equity,US + Japan,US 60/40,Global 60/40,Conservative
2010-09-10,0.00454016,0.00419779,0.00533632,0.00223605,0.00203063,0.000874
2010-09-13,0.01257623,0.01555941,0.01186327,0.0085862,0.01037917,0.0048112
2010-09-14,-0.00019431,0.00297287,0.00077324,0.00046244,0.00237559,0.00058898
2010-09-15,0.00252322,0.00091209,0.00115878,0.00113625,0.00016676,0.00037692
2010-09-16,-0.00038714,-0.00250551,-0.00420376,-0.00086145,-0.00214228,-0.00074878
2010-09-17,0.0009687,-0.00274102,-0.0002304,0.00097245,-0.00127183,0.00061831
2010-09-20,0.01625357,0.01534314,0.01660378,0.01011396,0.00955775,0.00523267
2010-09-21,-0.00304626,-0.00067689,-0.0054309,-0.00041986,0.00102375,0.00051196
2010-09-22,-0.00534795,-0.00112842,-0.00467282,-0.00290957,-0.00035009,-0.00130046
2010-09-23,-0.00825644,-0.01039352,-0.00702609,-0.00490005,-0.00620338,-0.00242214
2010-09-24,0.02042031,0.023745,0.01832543,0.01139951,0.0134161,0.00533793
2010-09-27,-0.00476916,-0.00379155,-0.00187063,-0.00123548,-0.00065051,0.00021789
2010-09-28,0.00651739,0.0062683,0.00577986,0.00480912,0.00466407,0.00279833
2010-09-29,-0.00476156,-0.00088973,-0.00186373,-0.00331869,-0.00096708,-0.00189615
2010-09-30,-0.00153068,-0.00267229,-0.00465003,-0.00111834,-0.00181571,-0.00066142
2010-10-01,0.0034498,0.00826044,0.0030272,0.00177101,0.00470565,0.00073308
2010-10-04,-0.00840363,-0.00907836,-0.0115891,-0.00410135,-0.00454809,-0.00150344
2010-10-05,0.02195699,0.02346361,0.02487342,0.01337,0.01435125,0.00672842
2010-10-06,-0.00169596,0.00218337,0.00204653,-0.00013597,0.00222878,0.00038697
2010-10-07,-0.0005665,-0.00239645,0.00077862,0.00031702,-0.00081446,0.00049682
2010-10-08,0.00755596,0.00589644,0.00676497,0.00412273,0.00314083,0.00185217
2010-10-11,-0.00168734,-0.00086823,-0.00176733,-0.00117063,-0.00067251,-0.00066704
2010-10-12,0.0058213,0.00130401,0.00145238,0.00317374,0.00042671,0.0014217
2010-10-13,0.00597468,0.01085068,0.0050853,0.00426443,0.00727039,0.00248247
2010-10-14,-0.00371183,0.00042897,-0.00058421,-0.00377046,-0.0012178,-0.002623
2010-10-15,0.00186283,-0.0008584,-0.00101555,0.00024951,-0.00141083,-0.00039129
2010-10-18,0.00725136,0.00236237,0.0071486,0.0059046,0.00289888,0.0038165
2010-10-19,-0.01587567,-0.02121278,-0.01379316,-0.0091953,-0.01254057,-0.00447615
2010-10-20,0.01069224,0.01663732,0.00986613,0.00638435,0.01004035,0.00317471
2010-10-21,0.00148494,-0.00129115,-0.002725,0.00058242,-0.00112044,0.00012993
2010-10-22,0.00240909,0.00215565,0.00403023,0.00124441,0.00109544,0.00057985
2010-10-25,0.00295798,0.00451827,0.00237793,0.00204995,0.00301723,0.00110215
2010-10-26,-0.00018404,-0.00406928,-0.00301982,-0.00118481,-0.00357666,-0.00108969
2010-10-27,-0.00313442,-0.00774258,-0.00308999,-0.00272204,-0.00556757,-0.00179681
2010-10-28,0.00073972,0.0065019,0.00139625,0.00176489,0.00531121,0.0015062
2010-10-29,0.00073927,0.00107744,-0.00063802,0.00115499,0.0013613,0.00101179
2010-11-01,0.00055397,-0.00064588,-0.00251266,0.00033111,-0.00040716,0.00016448
2010-11-02,0.00775186,0.01205348,0.00755085,0.00541697,0.00807832,0.00297492
2010-11-03,0.00421257,0.00531677,0.00386333,0.00301266,0.00370444,0.0018209
2010-11-04,0.01878526,0.02115551,0.01998817,0.01278701,0.01430339,0.00717554
2010-11-05,0.00393854,-0.00020732,0.00533979,0.00084014,-0.00171659,-0.00039309
2010-11-08,-0.00124874,-0.00331539,-0.00088614,-0.00068543,-0.00198037,-0.0003067
2010-11-09,-0.00785537,-0.00893979,-0.00753983,-0.00680673,-0.00748917,-0.00450536
2010-11-10,0.0037788,0.00230736,0.00607818,0.00220871,0.00129984,0.00106612
2010-11-11,-0.0032267,-0.00439499,-0.00397195,-0.00186926,-0.00260328,-0.00095558
2010-11-12,-0.01240996,-0.01324353,-0.01104787,-0.00941404,-0.00994283,-0.00560007
2010-11-15,-0.00091051,-0.0008523,-0.00064379,-0.00237761,-0.00233742,-0.00215038
2010-11-16,-0.01604116,-0.02025624,-0.01648666,-0.00869062,-0.01133023,-0.00381209
2010-11-17,0.00074114,0.00283001,0.00488558,0.00055022,0.00183638,0.0003288
2010-11-18,0.01480951,0.02039881,0.01795321,0.00911911,0.01257207,0.00459158
2010-11-19,0.00237157,0.0,0.00194916,0.00156182,9.282e-05,0.0008488
2010-11-22,-0.00091048,-0.00361565,-0.00149046,0.00055208,-0.00113283,0.00085625
2010-11-23,-0.01402536,-0.02369204,-0.01553952,-0.00858649,-0.01458403,-0.0043577
2010-11-24,0.01293198,0.01552216,0.01429757,0.0061301,0.00769009,0.00226146
2010-11-26,-0.00565402,-0.01119513,-0.00881145,-0.00261796,-0.0060367,-0.00088862
2010-11-29,-0.00091702,-0.005443,0.00078854,-0.00028576,-0.00306669,-2.6e-06
2010-11-30,-0.00697621,-0.00919468,-0.00634524,-0.00416647,-0.00550278,-0.00206077
2010-12-01,0.02255519,0.02562964,0.02193043,0.01153184,0.01329709,0.00462412
2010-12-02,0.01301719,0.01831144,0.01198841,0.00777434,0.01100607,0.00383023
2010-12-03,0.00249891,0.0048657,0.00343568,0.00216317,0.003637,0.00149004
2010-12-06,-0.00124647,-0.00273697,0.00051324,0.00046375,-0.0004599,0.00081871
2010-12-07,0.00035675,-0.00105524,-0.00336352,-0.00249358,-0.00338695,-0.00269059
2010-12-08,0.0040982,0.0016908,0.00372779,0.00062897,-0.00089404,-0.00067632
2010-12-09,0.00372667,0.00274228,0.00318572,0.00266552,0.00204162,0.00160916
2010-12-10,0.00601153,0.00420803,0.00341327,0.00258652,0.00142967,0.00071972
2010-12-13,0.0005272,0.00649508,0.00423858,0.00129657,0.00505185,0.00117243
2010-12-14,0.00052657,0.00124883,0.00147118,-0.00200481,-0.00156407,-0.00225246
2010-12-15,-0.00438877,-0.0095636,-0.00501414,-0.00392423,-0.00718595,-0.00269556
2010-12-16,0.00581913,0.00566758,0.00575824,0.00450908,0.00440296,0.00276704
2010-12-17,0.0014025,-0.00292174,0.00016588,0.00313657,0.00042661,0.00285932
2010-12-20,0.00210093,0.00125578,0.00175747,0.00155648,0.00101978,0.00092708
2010-12-21,0.0061148,0.00857203,0.00605518,0.00427788,0.00579989,0.0024367
2010-12-22,0.00364625,0.00270487,0.00367118,0.00190026,0.00128982,0.00071297
2010-12-23,-0.00155723,-0.00189709,-0.00137276,-0.00139664,-0.00160927,-0.00094083
2010-12-27,0.0007484,0.00063353,0.00134867,0.00149579,0.0014315,0.00131115
2010-12-28,0.00104379,-0.00063313,0.00292081,-0.00171552,-0.00280221,-0.00206964
2010-12-29,0.00086887,0.00696822,0.00333434,0.00270487,0.00657797,0.00246878
2010-12-30,-0.00156265,-0.00083859,-0.0035399,-0.00094602,-0.00048366,-0.00040646
2010-12-31,0.00104343,0.00314756,0.00182378,0.00189624,0.00323134,0.0015684
2011-01-03,0.00938001,0.00899613,0.0093165,0.00548781,0.00522072,0.00268582
2011-01-04,-0.00086033,-0.00165863,-0.0003297,-0.00046629,-0.00094527,-0.00020819
2011-01-05,0.00533863,0.00041535,0.00155439,0.00145443,-0.00149929,-0.00014649
2011-01-06,-0.00171256,-0.00705885,-0.00120269,-0.00068183,-0.00388991,-0.00016649
2011-01-07,-0.00205981,-0.00334501,-0.00035584,0.00025733,-0.0004968,0.00081191
2011-01-10,-0.00085965,-0.00419518,-0.00060237,0.00043168,-0.00155038,0.00075534
2011-01-11,0.00327041,0.00884756,0.00447297,0.00116246,0.0044639,0.00018247
2011-01-12,0.00892099,0.01524313,0.00895712,0.00510872,0.00886682,0.00236668
2011-01-13,-0.00136057,-0.000617,-0.00122101,0.0004181,0.00086987,0.00083124
2011-01-14,0.00715132,0.00596821,0.00500289,0.00375853,0.00304099,0.00161204
2011-01-18,0.00169083,0.00306891,0.00198977,0.00062652,0.00145437,0.00011668
2011-01-19,-0.00995815,-0.00877066,-0.00751456,-0.00552629,-0.00480139,-0.00246644
2011-01-20,-0.00119351,-0.00534918,-0.00353025,-0.00220554,-0.00470554,-0.00185167
2011-01-21,0.00221913,0.00248206,-0.00142097,0.00213189,0.00228958,0.00140171
2011-01-24,0.00613113,0.00660326,0.00620879,0.00364395,0.0039192,0.00180297
2011-01-25,-0.00033882,-0.00286944,0.00245429,0.00083248,-0.00068893,0.00100474
2011-01-26,0.00524909,0.00616699,0.00314403,0.00178441,0.00232018,0.0001371
2011-01-27,0.0013474,0.00306548,0.00121471,0.00160368,0.00264186,0.00126887
2011-01-28,-0.01766169,-0.02179675,-0.01749532,-0.00985129,-0.01232425,-0.0046035
2011-01-31,0.00770528,0.00937116,0.00568715,0.00407946,0.0050555,0.00176925
2011-02-01,0.01563286,0.01939341,0.01696271,0.0086503,0.01087682,0.00395594
2011-02-02,-0.00167304,-0.00222637,0.00175107,-0.00145775,-0.00179241,-0.00095837
2011-02-03,0.00251342,0.00121708,0.00415258,0.00019463,-0.00059668,-0.00057223
2011-02-04,0.00267502,0.0012156,0.00187172,0.00029655,-0.00059716,-0.00045608
2011-02-07,0.00633556,0.00263059,0.00417237,0.00391023,0.001648,0.00193358
2011-02-08,0.004639,0.00504558,0.00509646,0.00160785,0.0018348,0.00019311
2011-02-09,-0.00247413,-0.0064259,-0.00382862,-0.00058563,-0.00298484,0.0002396
2011-02-10,0.00033059,-0.00545668,-3.05e-05,-0.00102263,-0.00455404,-0.00120239
2011-02-11,0.00628049,0.00589324,0.00467577,0.0051701,0.00492095,0.00328712
2011-02-14,0.0024629,0.00242368,0.00434767,0.00194921,0.00191882,0.00121126
2011-02-15,-0.00360382,-0.00221662,-0.00461393,-0.00167488,-0.00080618,-0.00051337
2011-02-16,0.00641213,0.00747317,0.00869312,0.004072,0.00468885,0.00213836
2011-02-17,0.00375807,0.00561372,0.00522927,0.0028889,0.00400973,0.00176325
2011-02-18,0.0016274,0.00318995,0.00088219,0.00099951,0.0019467,0.00044366
2011-02-22,-0.02047443,-0.02543746,-0.02260032,-0.01113103,-0.01407766,-0.0049243
2011-02-23,-0.00564055,-0.00285433,-0.00343574,-0.00348265,-0.00177351,-0.00172064
2011-02-24,-0.00100104,0.00143109,-0.00149544,-0.00021507,0.00126052,8.979e-05
2011-02-25,0.01085543,0.01061939,0.01158831,0.00766939,0.00749833,0.0044146
2011-02-28,0.00594737,0.00808201,0.00704948,0.00415751,0.0054332,0.00231116
2011-03-01,-0.01708029,-0.0134298,-0.01247847,-0.01060334,-0.00833689,-0.0054707
2011-03-02,0.00284049,0.00548627,-0.00065433,0.00093418,0.00252101,0.00013908
2011-03-03,0.01716095,0.01515431,0.01489958,0.00884613,0.00759791,0.00360735
2011-03-04,-0.00737098,-0.00756415,-0.0072433,-0.00319672,-0.00329277,-0.00089024
