Date,US equity,Global equity,US + Japan,US 60/40,Global 60/40,Conservative,total_contributed
2010-09-09,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
2010-09-10,10045.4,10041.98,10053.36,10022.36,10020.31,10008.74,10000.0
2010-09-13,10171.73,10198.23,10172.63,10108.41,10124.31,10056.89,10000.0
2010-09-14,10169.76,10228.54,10180.49,10113.09,10148.36,10062.82,10000.0
2010-09-15,10195.42,10237.87,10192.29,10124.58,10150.05,10066.61,10000.0
2010-09-16,10191.47,10212.22,10149.45,10115.86,10128.31,10059.07,10000.0
2010-09-17,10201.34,10184.23,10147.11,10125.7,10115.43,10065.29,10000.0
2010-09-20,10367.15,10340.49,10315.59,10228.11,10212.11,10117.96,10000.0
2010-09-21,10335.57,10333.49,10259.56,10223.81,10222.56,10123.14,10000.0
2010-09-22,10280.3,10321.83,10211.62,10194.07,10218.98,10109.98,10000.0
2010-09-23,10195.42,10214.55,10139.88,10144.11,10155.59,10085.49,10000.0
2010-09-24,10403.61,10457.09,10325.69,10259.75,10291.84,10139.32,10000.0
2010-09-27,10354.0,10417.44,10306.38,10247.08,10285.14,10141.53,10000.0
2010-09-28,10421.48,10482.74,10365.95,10296.36,10333.11,10169.91,10000.0
2010-09-29,10371.85,10473.42,10346.63,10262.18,10323.12,10150.63,10000.0
2010-09-30,10355.98,10445.43,10298.52,10250.71,10304.38,10143.91,10000.0
2010-10-01,20391.7,20531.71,20329.69,20268.86,20352.87,20151.35,20000.0
2010-10-04,20220.34,20345.32,20093.64,20186.52,20261.51,20121.73,20000.0
2010-10-05,20664.32,20822.69,20593.84,20454.86,20549.88,20255.56,20000.0
2010-10-06,20629.27,20868.16,20636.53,20452.36,20595.69,20263.58,20000.0
2010-10-07,20617.59,20818.15,20652.79,20459.01,20579.35,20273.74,20000.0
2010-10-08,20773.37,20940.9,20792.39,20542.72,20643.24,20310.71,20000.0
2010-10-11,20738.32,20922.72,20755.63,20518.77,20629.41,20297.28,20000.0
2010-10-12,20859.04,20950.0,20785.15,20583.4,20637.98,20325.69,20000.0
2010-10-13,20983.67,21177.32,20890.72,20670.86,20787.05,20375.76,20000.0
2010-10-14,20905.78,21186.41,20878.97,20592.91,20761.28,20322.49,20000.0
2010-10-15,20944.73,21168.22,20857.35,20597.74,20731.84,20314.33,20000.0
2010-10-18,21096.6,21218.23,21006.43,20719.11,20792.09,20391.44,20000.0
2010-10-19,20761.68,20768.13,20716.99,20529.86,20533.73,20301.35,20000.0
2010-10-20,20983.67,21113.66,20921.27,20660.13,20738.12,20365.03,20000.0
2010-10-21,21014.83,21086.4,20863.64,20671.99,20714.93,20367.54,20000.0
2010-10-22,21065.46,21131.85,20947.97,20697.49,20737.33,20379.17,20000.0
2010-10-25,21127.77,21227.33,20997.69,20739.75,20799.49,20401.42,20000.0
2010-10-26,21123.88,21140.95,20933.87,20714.99,20725.23,20379.14,20000.0
2010-10-27,21057.67,20977.26,20869.19,20658.68,20610.44,20342.69,20000.0
2010-10-28,21073.24,21113.66,20898.42,20695.33,20719.58,20373.36,20000.0
2010-10-29,21088.82,21136.41,20884.89,20719.32,20747.87,20393.98,20000.0
2010-11-01,31100.51,31122.75,30831.96,30726.13,30739.48,30397.29,30000.0
2010-11-02,31341.59,31497.89,31064.66,30891.27,30985.05,30486.17,30000.0
2010-11-03,31473.62,31665.36,31184.49,30983.65,31098.69,30540.91,30000.0
2010-11-04,32064.86,32335.26,31808.45,31376.43,31538.67,30756.32,30000.0
2010-11-05,32191.15,32328.55,31979.07,31401.0,31483.44,30743.0,30000.0
2010-11-08,32150.95,32221.37,31950.93,31379.8,31422.06,30733.86,30000.0
2010-11-09,31898.39,31933.32,31710.2,31166.82,31187.77,30596.65,30000.0
2010-11-10,32018.93,32007.0,31904.19,31234.75,31227.59,30628.42,30000.0
2010-11-11,31915.62,31866.33,31777.06,31177.15,31147.58,30599.85,30000.0
2010-11-12,31519.54,31444.31,31426.73,30885.38,30840.23,30430.82,30000.0
2010-11-15,31490.85,31417.51,31406.64,30811.11,30767.1,30365.17,30000.0
2010-11-16,30985.7,30781.11,30888.61,30547.52,30424.76,30253.12,30000.0
2010-11-17,31008.66,30868.22,31041.71,30564.22,30479.95,30262.93,30000.0
2010-11-18,31467.88,31497.89,31600.67,30839.75,30857.76,30398.73,30000.0
2010-11-19,31542.51,31497.89,31662.04,30887.46,30860.69,30424.05,30000.0
2010-11-22,31513.79,31384.01,31614.54,30905.34,30827.47,30450.55,30000.0
2010-11-23,31071.8,30640.45,31122.45,30643.07,30384.26,30320.87,30000.0
2010-11-24,31473.62,31116.06,31568.15,30827.1,30612.56,30386.33,30000.0
2010-11-26,31295.67,30767.71,31288.29,30748.12,30431.35,30360.73,30000.0
2010-11-29,31266.97,30600.24,31313.87,30739.69,30339.65,30360.91,30000.0
2010-11-30,31048.84,30318.88,31115.52,30613.2,30175.22,30299.86,30000.0
2010-12-01,41749.16,41095.95,41797.56,40960.05,40568.12,40434.65,40000.0
2010-12-02,42292.61,41848.47,42297.95,41272.39,41005.9,40583.95,40000.0
2010-12-03,42398.3,42052.09,42443.92,41361.27,41153.55,40643.75,40000.0
2010-12-06,42345.45,41937.0,42466.91,41382.47,41137.4,40678.18,40000.0
2010-12-07,42360.56,41892.75,42321.52,41275.92,40995.23,40567.1,40000.0
2010-12-08,42534.16,41963.58,42479.03,41297.79,40955.44,40536.89,40000.0
2010-12-09,42692.67,42078.65,42613.99,41406.61,41038.2,40600.78,40000.0
2010-12-10,42949.32,42255.72,42757.65,41509.64,41093.48,40626.81,40000.0
2010-12-13,42971.96,42530.18,42941.46,41564.38,41299.31,40674.76,40000.0
2010-12-14,42994.59,42583.29,43005.29,41478.02,41231.24,40581.61,40000.0
2010-12-15,42805.9,42176.04,42789.22,41315.81,40937.89,40473.38,40000.0
2010-12-16,43054.99,42415.08,43035.57,41500.54,41116.59,40583.39,40000.0
2010-12-17,43115.37,42291.15,43041.84,41632.79,41138.26,40700.15,40000.0
2010-12-20,43205.96,42344.26,43117.25,41696.94,41179.92,40737.12,40000.0
2010-12-21,43470.15,42707.23,43378.29,41873.1,41415.35,40834.02,40000.0
2010-12-22,43628.66,42822.75,43537.56,41950.56,41467.01,40861.3,40000.0
2010-12-23,43560.72,42741.51,43477.92,41892.16,41400.64,40823.29,40000.0
2010-12-27,43593.32,42768.59,43536.98,41955.73,41460.9,40877.08,40000.0
2010-12-28,43638.82,42741.51,43665.47,41880.4,41342.02,40790.73,40000.0
2010-12-29,43676.74,43039.35,43812.8,41995.92,41613.48,40892.24,40000.0
2010-12-30,43608.48,43003.25,43656.31,41956.94,41593.8,40876.36,40000.0
2010-12-31,43653.99,43138.61,43736.48,42037.53,41728.31,40940.68,40000.0
2011-01-03,54063.46,53526.69,54143.91,52263.5,51941.43,51046.42,50000.0
2011-01-04,54016.95,53437.91,54126.06,52239.13,51892.33,51035.8,50000.0
2011-01-05,54305.33,53460.1,54210.19,52315.1,51814.53,51028.32,50000.0
