Date,US equity,Global equity,US + Japan,US 60/40,Global 60/40,Conservative
2010-09-09,1.0,1.0,1.0,1.0,1.0,1.0
2010-09-10,1.00454,1.004198,1.005336,1.002236,1.002031,1.000874
2010-09-13,1.017173,1.019823,1.017263,1.010841,1.012431,1.005689
2010-09-14,1.016976,1.022854,1.018049,1.011309,1.014836,1.006282
2010-09-15,1.019542,1.023787,1.019229,1.012458,1.015005,1.006661
2010-09-16,1.019147,1.021222,1.014945,1.011586,1.012831,1.005907
2010-09-17,1.020134,1.018423,1.014711,1.01257,1.011543,1.006529
2010-09-20,1.036715,1.034049,1.031559,1.022811,1.021211,1.011796
2010-09-21,1.033557,1.033349,1.025956,1.022381,1.022256,1.012314
2010-09-22,1.02803,1.032183,1.021162,1.019407,1.021898,1.010998
2010-09-23,1.019542,1.021455,1.013988,1.014411,1.015559,1.008549
2010-09-24,1.040361,1.045709,1.032569,1.025975,1.029184,1.013932
2010-09-27,1.0354,1.041744,1.030638,1.024708,1.028514,1.014153
2010-09-28,1.042148,1.048274,1.036595,1.029636,1.033311,1.016991
2010-09-29,1.037185,1.047342,1.034663,1.026218,1.032312,1.015063
2010-09-30,1.035598,1.044543,1.029852,1.025071,1.030438,1.014391
2010-10-01,1.03917,1.053171,1.032969,1.026886,1.035287,1.015135
2010-10-04,1.030438,1.04361,1.020998,1.022675,1.030578,1.013609
2010-10-05,1.053063,1.068097,1.046394,1.036348,1.045368,1.020429
2010-10-06,1.051277,1.070429,1.048535,1.036207,1.047698,1.020824
2010-10-07,1.050681,1.067864,1.049352,1.036535,1.046845,1.021331
2010-10-08,1.05862,1.07416,1.05645,1.040809,1.050133,1.023223
2010-10-11,1.056834,1.073228,1.054583,1.03959,1.049427,1.02254
2010-10-12,1.062986,1.074627,1.056115,1.04289,1.049874,1.023994
2010-10-13,1.069337,1.086288,1.061486,1.047337,1.057507,1.026536
2010-10-14,1.065368,1.086754,1.060865,1.043388,1.056219,1.023843
2010-10-15,1.067353,1.085821,1.059788,1.043648,1.054729,1.023443
2010-10-18,1.075092,1.088386,1.067364,1.049811,1.057787,1.027349
2010-10-19,1.058025,1.065298,1.052642,1.040157,1.044522,1.02275
2010-10-20,1.069337,1.083022,1.063027,1.046798,1.055009,1.025997
2010-10-21,1.070925,1.081624,1.060131,1.047408,1.053827,1.02613
2010-10-22,1.073505,1.083955,1.064403,1.048711,1.054981,1.026725
2010-10-25,1.076681,1.088853,1.066934,1.050861,1.058164,1.027857
2010-10-26,1.076482,1.084422,1.063712,1.049616,1.05438,1.026737
2010-10-27,1.073108,1.076026,1.060425,1.046759,1.048509,1.024892
2010-10-28,1.073902,1.083022,1.061906,1.048606,1.054078,1.026436
2010-10-29,1.074696,1.084189,1.061228,1.049817,1.055513,1.027474
2010-11-01,1.075291,1.083489,1.058562,1.050165,1.055083,1.027643
2010-11-02,1.083627,1.096548,1.066555,1.055854,1.063607,1.0307
2010-11-03,1.088192,1.102379,1.070675,1.059035,1.067547,1.032577
2010-11-04,1.108634,1.1257,1.092076,1.072577,1.082816,1.039986
2010-11-05,1.113,1.125467,1.097908,1.073478,1.080958,1.039578
2010-11-08,1.11161,1.121735,1.096935,1.072742,1.078817,1.039259
2010-11-09,1.102878,1.111707,1.088664,1.06544,1.070737,1.034577
2010-11-10,1.107046,1.114272,1.095281,1.067793,1.072129,1.03568
2010-11-11,1.103473,1.109375,1.090931,1.065797,1.069338,1.03469
2010-11-12,1.089779,1.094683,1.078878,1.055764,1.058706,1.028896
2010-11-15,1.088787,1.09375,1.078184,1.053254,1.056231,1.026683
2010-11-16,1.071322,1.071595,1.060408,1.0441,1.044264,1.022769
2010-11-17,1.072116,1.074627,1.065589,1.044675,1.046182,1.023106
2010-11-18,1.087993,1.096548,1.08472,1.054201,1.059334,1.027803
2010-11-19,1.090574,1.096548,1.086834,1.055848,1.059433,1.028676
2010-11-22,1.089581,1.092584,1.085214,1.056431,1.058232,1.029556
2010-11-23,1.074299,1.066698,1.06835,1.04736,1.042799,1.02507
2010-11-24,1.088192,1.083256,1.083625,1.05378,1.050818,1.027388
2010-11-26,1.082039,1.071128,1.074077,1.051021,1.044475,1.026475
2010-11-29,1.081047,1.065298,1.074924,1.050721,1.041272,1.026472
2010-11-30,1.073505,1.055503,1.068103,1.046343,1.035542,1.024357
2010-12-01,1.097718,1.082555,1.091527,1.058409,1.049312,1.029094
2010-12-02,1.112007,1.102379,1.104613,1.066638,1.06086,1.033036
2010-12-03,1.114786,1.107742,1.108408,1.068945,1.064719,1.034575
2010-12-06,1.113397,1.10471,1.108977,1.069441,1.064229,1.035422
2010-12-07,1.113794,1.103545,1.105247,1.066774,1.060625,1.032636
2010-12-08,1.118358,1.105411,1.109367,1.067445,1.059676,1.031938
2010-12-09,1.122526,1.108442,1.112901,1.07029,1.06184,1.033598
2010-12-10,1.129274,1.113106,1.1167,1.073059,1.063358,1.034342
2010-12-13,1.12987,1.120336,1.121433,1.07445,1.06873,1.035555
2010-12-14,1.130465,1.121735,1.123083,1.072296,1.067058,1.033222
2010-12-15,1.125503,1.111007,1.117451,1.068088,1.05939,1.030437
2010-12-16,1.132053,1.117304,1.123886,1.072904,1.064055,1.033288
2010-12-17,1.13364,1.11404,1.124072,1.076269,1.064509,1.036243
2010-12-20,1.136022,1.115439,1.126048,1.077945,1.065594,1.037203
2010-12-21,1.142969,1.125,1.132866,1.082556,1.071775,1.039731
2010-12-22,1.147136,1.128043,1.137025,1.084613,1.073157,1.040472
2010-12-23,1.14535,1.125903,1.135464,1.083098,1.07143,1.039493
2010-12-27,1.146207,1.126616,1.136996,1.084718,1.072964,1.040856
2010-12-28,1.147403,1.125903,1.140317,1.082857,1.069957,1.038702
2010-12-29,1.1484,1.133749,1.144119,1.085786,1.076995,1.041266
2010-12-30,1.146606,1.132798,1.140069,1.084759,1.076474,1.040843
2010-12-31,1.147802,1.136363,1.142148,1.086816,1.079953,1.042475
2011-01-03,1.158569,1.146586,1.152789,1.09278,1.085591,1.045275
2011-01-04,1.157572,1.144685,1.152409,1.092271,1.084565,1.045058
2011-01-05,1.163752,1.14516,1.1542,1.093859,1.082939,1.044905
2011-01-06,1.161759,1.137076,1.152812,1.093114,1.078726,1.044731
2011-01-07,1.159366,1.133273,1.152402,1.093395,1.07819,1.045579
2011-01-10,1.158369,1.128519,1.151708,1.093867,1.076519,1.046369
2011-01-11,1.162157,1.138503,1.156859,1.095139,1.081324,1.04656
2011-01-12,1.172525,1.155858,1.167221,1.100733,1.090912,1.049037
2011-01-13,1.17093,1.155145,1.165796,1.101194,1.091861,1.049909
2011-01-14,1.179303,1.162039,1.171628,1.105332,1.095181,1.051601
2011-01-18,1.181297,1.165605,1.17396,1.106025,1.096774,1.051724
2011-01-19,1.169534,1.155382,1.165138,1.099913,1.091508,1.04913
2011-01-20,1.168138,1.149201,1.161025,1.097487,1.086372,1.047187
2011-01-21,1.17073,1.152054,1.159375,1.099826,1.088859,1.048655
2011-01-24,1.177908,1.159661,1.166573,1.103834,1.093127,1.050546
2011-01-25,1.177509,1.156334,1.169436,1.104753,1.092374,1.051601
2011-01-26,1.18369,1.163465,1.173113,1.106724,1.094908,1.051745
2011-01-27,1.185285,1.167031,1.174538,1.108499,1.097801,1.05308
2011-01-28,1.164351,1.141594,1.153989,1.097579,1.084271,1.048232
2011-01-31,1.173322,1.152292,1.160552,1.102057,1.089753,1.050087
2011-02-01,1.191665,1.174639,1.180238,1.11159,1.101606,1.054241
2011-02-02,1.189671,1.172023,1.182305,1.109969,1.099631,1.05323
2011-02-03,1.192661,1.17345,1.187214,1.110185,1.098975,1.052628
2011-02-04,1.195852,1.174876,1.189437,1.110515,1.098319,1.052148
2011-02-07,1.203428,1.177967,1.194399,1.114857,1.100129,1.054182
2011-02-08,1.209011,1.18391,1.200487,1.11665,1.102147,1.054386
2011-02-09,1.206019,1.176303,1.19589,1.115996,1.098858,1.054638
2011-02-10,1.206418,1.169884,1.195854,1.114854,1.093853,1.05337
2011-02-11,1.213995,1.176778,1.201445,1.120618,1.099236,1.056833
2011-02-14,1.216985,1.179631,1.206669,1.122803,1.101345,1.058113
2011-02-15,1.212599,1.177016,1.201101,1.120922,1.100458,1.05757
2011-02-16,1.220374,1.185812,1.211543,1.125486,1.105617,1.059831
2011-02-17,1.224961,1.192469,1.217878,1.128738,1.110051,1.0617
2011-02-18,1.226954,1.196273,1.218953,1.129866,1.112212,1.062171
2011-02-22,1.201833,1.165842,1.191404,1.117289,1.096554,1.05694
2011-02-23,1.195054,1.162515,1.18731,1.113398,1.09461,1.055122
2011-02-24,1.193858,1.164178,1.185535,1.113159,1.095989,1.055216
2011-02-25,1.206818,1.176541,1.199273,1.121696,1.104207,1.059875
2011-02-28,1.213995,1.18605,1.207728,1.12636,1.110207,1.062324
2011-03-01,1.19326,1.170122,1.192657,1.114416,1.100951,1.056513
