portfolio,target_weights,rebalance,mode,start,end,total_return,cagr,annual_volatility,max_drawdown,max_drawdown_date,sharpe_ratio,rebalances,annual_turnover,total_contributed,final_value,return_on_contributions,money_max_drawdown,money_days_to_recover,final_weights
US equity,VOO 100%,none,lump_sum,2010-09-09,2026-09-21,8.340202,0.149537,0.169698,-0.33993,2020-03-23,0.825687,0,0.0,10000.0,93402.022731,8.340202,-0.33993,140.0,VOO 100%
US equity,VOO 100%,none,dca,2010-09-09,2026-09-21,8.340202,0.149537,0.169698,-0.33993,2020-03-23,0.825687,0,0.0,1930000.0,7233992.239367,2.748183,-0.339659,136.0,VOO 100%
US equity,VOO 100%,annual,lump_sum,2010-09-09,2026-09-21,8.340202,0.149537,0.169698,-0.33993,2020-03-23,0.825687,16,0.0,10000.0,93402.022731,8.340202,-0.33993,140.0,VOO 100%
US equity,VOO 100%,annual,dca,2010-09-09,2026-09-21,8.340202,0.149537,0.169698,-0.33993,2020-03-23,0.825687,16,0.0,1930000.0,7233992.239367,2.748183,-0.339659,136.0,VOO 100%
US equity,VOO 100%,quarterly,lump_sum,2010-09-09,2026-09-21,8.340202,0.149537,0.169698,-0.33993,2020-03-23,0.825687,64,0.0,10000.0,93402.022731,8.340202,-0.33993,140.0,VOO 100%
US equity,VOO 100%,quarterly,dca,2010-09-09,2026-09-21,8.340202,0.149537,0.169698,-0.33993,2020-03-23,0.825687,64,0.0,1930000.0,7233992.239367,2.748183,-0.339659,136.0,VOO 100%
US equity,VOO 100%,monthly,lump_sum,2010-09-09,2026-09-21,8.340202,0.149537,0.169698,-0.33993,2020-03-23,0.825687,192,0.0,10000.0,93402.022731,8.340202,-0.33993,140.0,VOO 100%
US equity,VOO 100%,monthly,dca,2010-09-09,2026-09-21,8.340202,0.149537,0.169698,-0.33993,2020-03-23,0.825687,192,0.0,1930000.0,7233992.239367,2.748183,-0.339659,136.0,VOO 100%
Global equity,VT 100%,none,lump_sum,2010-09-09,2026-09-21,4.387523,0.110755,0.170607,-0.342362,2020-03-23,0.620739,0,0.0,10000.0,53875.226919,4.387523,-0.342362,154.0,VT 100%
Global equity,VT 100%,none,dca,2010-09-09,2026-09-21,4.387523,0.110755,0.170607,-0.342362,2020-03-23,0.620739,0,0.0,1930000.0,5399406.544148,1.79762,-0.342028,148.0,VT 100%
