ticker,start_year,start,end,months,total_contributed,dca_final_value,lump_sum_final_value,dca_return,lump_sum_return,dca_vs_lump_sum,dca_max_drawdown,dca_days_to_recover,lump_sum_max_drawdown,lump_sum_days_to_recover,dca_worst_vs_contributed,lump_sum_worst_vs_contributed
VOO,2010,2010-09-09,2026-08-31,192,1920000.0,7143850.786011,17734679.549561,2.720756,8.236812,-0.597182,-0.339659,136.0,-0.33993,140.0,-0.105649,0.0
VOO,2011,2011-01-03,2026-08-31,188,1880000.0,6792550.134544,14988500.915426,2.613059,6.972607,-0.546816,-0.339641,136.0,-0.33993,140.0,-0.141765,-0.123659
VOO,2012,2012-01-03,2026-08-31,176,1760000.0,5843028.840031,13697013.41519,2.319903,6.782394,-0.573409,-0.33958,136.0,-0.33993,140.0,-0.044871,0.0
VOO,2013,2013-01-02,2026-08-31,164,1640000.0,4983384.123134,10897050.931528,2.038649,5.644543,-0.542685,-0.339497,136.0,-0.33993,140.0,-0.002395,-0.002395
VOO,2014,2014-01-02,2026-08-31,152,1520000.0,4270042.822328,7888251.593913,1.809239,4.189639,-0.458683,-0.339391,136.0,-0.33993,140.0,-0.059078,-0.047843
VOO,2015,2015-01-02,2026-08-31,140,1400000.0,3679554.996291,6375931.973434,1.628254,3.554237,-0.422899,-0.339254,136.0,-0.33993,140.0,-0.095648,-0.090985
VOO,2016,2016-01-04,2026-08-31,128,1280000.0,3137275.585827,5834969.456694,1.450997,3.55857,-0.462332,-0.339047,135.0,-0.33993,140.0,-0.07626,-0.09012
VOO,2017,2017-01-03,2026-08-31,116,1160000.0,2614754.353572,4616130.172733,1.254099,2.979423,-0.433561,-0.33868,134.0,-0.33993,140.0,-0.14642,0.0
VOO,2018,2018-01-02,2026-08-31,104,1040000.0,2175301.48297,3397343.722433,1.091636,2.266677,-0.359705,-0.338008,133.0,-0.33993,140.0,-0.197566,-0.135937
VOO,2019,2019-01-02,2026-08-31,92,920000.0,1794259.983428,3167590.055292,0.950283,2.443033,-0.433557,-0.336327,119.0,-0.33993,140.0,-0.227543,-0.08929
VOO,2020,2020-01-02,2026-08-31,80,800000.0,1435589.860504,2079992.057468,0.794487,1.59999,-0.30981,-0.319547,64.0,-0.33993,140.0,-0.300085,-0.312281
VOO,2021,2021-01-04,2026-08-31,68,680000.0,1116097.819416,1528145.940519,0.64132,1.247273,-0.269639,-0.209516,361.0,-0.245207,427.0,-0.136631,-0.008457
VOO,2022,2022-01-03,2026-08-31,56,560000.0,879200.686796,957988.261322,0.570001,0.710693,-0.082243,-0.184817,77.0,-0.245207,427.0,-0.16215,-0.245207
VOO,2023,2023-01-03,2026-08-31,44,440000.0,643133.457558,929102.477336,0.461667,1.111597,-0.307791,-0.183743,77.0,-0.186894,79.0,-0.024803,-0.0038
VOO,2024,2024-01-02,2026-08-31,32,320000.0,416467.686343,536273.424074,0.301462,0.675854,-0.223404,-0.180633,65.0,-0.186894,79.0,-0.076579,-0.010553
VOO,2025,2025-01-02,2026-08-31,20,200000.0,238700.611378,267144.487587,0.193503,0.335722,-0.106474,-0.159182,35.0,-0.186894,79.0,-0.143589,-0.147242
VOO,2026,2026-01-02,2026-08-31,8,80000.0,86559.047018,90297.533816,0.081988,0.128719,-0.041402,-0.084969,14.0,-0.089005,15.0,-0.079435,-0.072475
VTI,2010,2010-09-09,2026-08-31,192,1920000.0,6840132.122224,17007441.72514,2.562569,7.858043,-0.597815,-0.349721,140.0,-0.350003,142.0,-0.116656,0.0
VTI,2011,2011-01-03,2026-08-31,188,1880000.0,6504993.953012,14180577.869939,2.460103,6.542861,-0.541274,-0.349703,140.0,-0.350003,142.0,-0.152794,-0.137487
VTI,2012,2012-01-03,2026-08-31,176,1760000.0,5604410.521218,13098384.794169,2.184324,6.442264,-0.57213,-0.34964,137.0,-0.350003,142.0,-0.049046,0.0
VTI,2013,2013-01-02,2026-08-31,164,1640000.0,4783510.754949,10366258.169019,1.916775,5.320889,-0.53855,-0.349553,136.0,-0.350003,142.0,-0.00173,-0.00173
VTI,2014,2014-01-02,2026-08-31,152,1520000.0,4107199.782172,7447484.482227,1.702105,3.899661,-0.448512,-0.349444,136.0,-0.350003,142.0,-0.07761,-0.046067
VTI,2015,2015-01-02,2026-08-31,140,1400000.0,3547739.621104,6045873.720724,1.5341,3.318481,-0.413197,-0.349303,136.0,-0.350003,142.0,-0.111729,-0.108736
VTI,2016,2016-01-04,2026-08-31,128,1280000.0,3034436.130015,5587511.952818,1.370653,3.365244,-0.456925,-0.349092,135.0,-0.350003,142.0,-0.099331,-0.099085
VTI,2017,2017-01-03,2026-08-31,116,1160000.0,2533929.002,4387760.462543,1.184422,2.782552,-0.422501,-0.348712,135.0,-0.350003,142.0,-0.167873,0.0
VTI,2018,2018-01-02,2026-08-31,104,1040000.0,2114973.507546,3247209.769145,1.033628,2.122317,-0.34868,-0.348022,133.0,-0.350003,142.0,-0.215987,-0.159003
VTI,2019,2019-01-02,2026-08-31,92,920000.0,1751066.34272,3050242.31332,0.903333,2.315481,-0.425925,-0.346304,119.0,-0.350003,142.0,-0.242232,-0.106975
VTI,2020,2020-01-02,2026-08-31,80,800000.0,1405958.683216,2014699.477646,0.757448,1.518374,-0.30215,-0.329173,64.0,-0.350003,142.0,-0.309655,-0.321675
VTI,2021,2021-01-04,2026-08-31,68,680000.0,1095937.332114,1446740.800002,0.611673,1.12756,-0.242478,-0.221872,362.0,-0.253633,433.0,-0.155216,-0.04238
VTI,2022,2022-01-03,2026-08-31,56,560000.0,871383.099133,928600.16163,0.556041,0.658215,-0.061616,-0.190805,79.0,-0.253633,433.0,-0.171053,-0.253633
VTI,2023,2023-01-03,2026-08-31,44,440000.0,639919.54008,916100.108822,0.454363,1.082046,-0.301474,-0.189665,79.0,-0.193036,80.0,-0.032272,-0.002941
VTI,2024,2024-01-02,2026-08-31,32,320000.0,415803.797223,529972.211541,0.299387,0.656163,-0.215423,-0.186361,77.0,-0.193036,80.0,-0.084689,-0.012138
VTI,2025,2025-01-02,2026-08-31,20,200000.0,238858.29758,266244.591969,0.194291,0.331223,-0.102861,-0.16352,35.0,-0.193036,80.0,-0.148773,-0.15437
VTI,2026,2026-01-02,2026-08-31,8,80000.0,86556.296787,90494.0992,0.081954,0.131176,-0.043514,-0.084797,14.0,-0.089182,15.0,-0.078483,-0.070333
VT,2010,2010-09-09,2026-08-31,192,1920000.0,5364111.884876,10295733.830268,1.793808,4.362361,-0.478997,-0.342028,148.0,-0.342362,154.0,-0.155371,-0.057864
VT,2011,2011-01-03,2026-08-31,188,1880000.0,5160546.020323,8792394.558069,1.744971,3.676806,-0.413067,-0.34201,148.0,-0.342362,154.0,-0.181833,-0.178312
VT,2012,2012-01-03,2026-08-31,176,1760000.0,4589009.964838,8814120.440579,1.607392,4.008023,-0.479357,-0.341949,147.0,-0.342362,154.0,-0.079739,-0.035008
VT,2013,2013-01-02,2026-08-31,164,1640000.0,4024518.366222,6991073.580954,1.453975,3.26285,-0.424335,-0.341864,142.0,-0.342362,154.0,-0.086292,-0.009703
VT,2014,2014-01-02,2026-08-31,152,1520000.0,3546053.962149,5466751.527484,1.33293,2.596547,-0.351342,-0.341758,142.0,-0.342362,154.0,-0.130579,-0.089262
VT,2015,2015-01-02,2026-08-31,140,1400000.0,3130191.27687,4797264.998901,1.235851,2.426618,-0.347505,-0.341621,142.0,-0.342362,154.0,-0.137555,-0.132293
VT,2016,2016-01-04,2026-08-31,128,1280000.0,2725738.88643,4533689.492838,1.129484,2.541945,-0.398781,-0.341412,142.0,-0.342362,154.0,-0.157076,-0.103089
VT,2017,2017-01-03,2026-08-31,116,1160000.0,2316108.209747,3692846.244778,0.996645,2.183488,-0.372812,-0.341031,136.0,-0.342362,154.0,-0.212568,-0.045701
VT,2018,2018-01-02,2026-08-31,104,1040000.0,1970968.443738,2657909.127531,0.895162,1.555682,-0.258452,-0.340352,135.0,-0.342362,154.0,-0.245787,-0.233895
