ticker,episode_peak,episode_depth,start_point,horizon_years,start,end,months,total_contributed,dca_final_value,lump_sum_final_value,dca_return,lump_sum_return,dca_vs_lump_sum,dca_max_drawdown,dca_days_to_recover,lump_sum_max_drawdown,lump_sum_days_to_recover,dca_worst_vs_contributed,lump_sum_worst_vs_contributed
VOO,2011-04-29,-0.187546,peak,1,2011-04-29,2012-03-30,12,120000.0,133639.600983,126398.600559,0.113663,0.053322,0.057287,-0.162292,78.0,-0.187546,123.0,-0.155817,-0.187546
VOO,2011-04-29,-0.187546,peak,3,2011-04-29,2014-03-31,36,360000.0,483542.722904,526504.621015,0.343174,0.462513,-0.081598,-0.162292,78.0,-0.187546,123.0,-0.155817,-0.187546
VOO,2011-04-29,-0.187546,peak,5,2011-04-29,2016-03-31,60,600000.0,802775.55162,1000631.463477,0.337959,0.667719,-0.197731,-0.162292,78.0,-0.187546,123.0,-0.155817,-0.187546
VOO,2011-04-29,-0.187546,peak,10,2011-04-29,2021-03-31,120,1200000.0,2641871.525085,4255998.423021,1.20156,2.546665,-0.379259,-0.339628,136.0,-0.33993,140.0,-0.155817,-0.187546
VOO,2011-04-29,-0.187546,trough,1,2011-10-03,2012-09-28,12,120000.0,133781.206365,160980.333925,0.114843,0.341503,-0.168959,-0.090209,28.0,-0.096549,41.0,0.0,0.0
VOO,2011-04-29,-0.187546,trough,3,2011-10-03,2014-09-30,36,360000.0,479077.77012,689329.833116,0.330772,0.914805,-0.305009,-0.090209,28.0,-0.096549,41.0,0.0,0.0
VOO,2011-04-29,-0.187546,trough,5,2011-10-03,2016-09-30,60,600000.0,805316.881406,1310095.908054,0.342195,1.183493,-0.385299,-0.126265,62.0,-0.130008,67.0,0.0,0.0
VOO,2011-04-29,-0.187546,trough,10,2011-10-03,2021-09-30,120,1200000.0,2699279.373625,5709167.2345,1.249399,3.757639,-0.527203,-0.339598,136.0,-0.33993,140.0,0.0,0.0
VOO,2011-04-29,-0.187546,recovery,1,2012-02-03,2013-01-31,12,120000.0,130843.069638,136591.287494,0.090359,0.138261,-0.042083,-0.083451,70.0,-0.096471,73.0,-0.062091,-0.043503
VOO,2011-04-29,-0.187546,recovery,3,2012-02-03,2015-01-30,36,360000.0,454266.24454,565777.705285,0.261851,0.571605,-0.197094,-0.083451,70.0,-0.096471,73.0,-0.062091,-0.043503
VOO,2011-04-29,-0.187546,recovery,5,2012-02-03,2017-01-31,60,600000.0,810029.809157,1123060.300015,0.35005,0.871767,-0.27873,-0.12607,62.0,-0.130008,67.0,-0.062091,-0.043503
VOO,2011-04-29,-0.187546,recovery,10,2012-02-03,2022-01-31,120,1200000.0,2698716.076949,4868384.080844,1.24893,3.056987,-0.445665,-0.339574,136.0,-0.33993,140.0,-0.062091,-0.043503
VOO,2018-09-20,-0.194768,peak,1,2018-09-20,2019-08-30,12,120000.0,126003.919803,121988.031849,0.050033,0.016567,0.03292,-0.171291,51.0,-0.194768,109.0,-0.171291,-0.194768
VOO,2018-09-20,-0.194768,peak,3,2018-09-20,2021-08-31,36,360000.0,528771.418643,585463.111079,0.468809,0.626286,-0.096832,-0.337116,120.0,-0.33993,140.0,-0.220256,-0.215793
VOO,2018-09-20,-0.194768,peak,5,2018-09-20,2023-08-31,60,600000.0,805756.225039,1004121.510345,0.342927,0.673536,-0.197551,-0.337116,120.0,-0.33993,140.0,-0.220256,-0.215793
VOO,2018-09-20,-0.194768,trough,1,2018-12-24,2019-11-29,12,120000.0,136340.043035,163577.623577,0.136167,0.363147,-0.166512,-0.063618,18.0,-0.066395,17.0,0.0,0.0
VOO,2018-09-20,-0.194768,trough,3,2018-12-24,2021-11-30,36,360000.0,518797.311249,736505.939151,0.441104,1.04585,-0.295597,-0.336608,119.0,-0.33993,140.0,-0.214953,-0.026111
VOO,2018-09-20,-0.194768,trough,5,2018-12-24,2023-11-30,60,600000.0,802403.771333,1268601.585973,0.33734,1.114336,-0.36749,-0.336608,119.0,-0.33993,140.0,-0.214953,-0.026111
VOO,2018-09-20,-0.194768,recovery,1,2019-04-12,2020-03-31,12,120000.0,104436.287047,108738.07314,-0.129698,-0.093849,-0.039561,-0.335289,,-0.33993,,-0.249317,-0.218396
VOO,2018-09-20,-0.194768,recovery,3,2019-04-12,2022-03-31,36,360000.0,483263.767579,589728.69003,0.342399,0.638135,-0.180532,-0.335289,77.0,-0.33993,140.0,-0.249317,-0.218396
VOO,2018-09-20,-0.194768,recovery,5,2019-04-12,2024-03-28,60,600000.0,880943.467176,1175523.420674,0.468239,0.959206,-0.250595,-0.335289,77.0,-0.33993,140.0,-0.249317,-0.218396
VOO,2020-02-19,-0.33993,peak,1,2020-02-19,2021-01-29,12,120000.0,140586.815207,133704.80818,0.171557,0.114207,0.051472,-0.308481,37.0,-0.33993,140.0,-0.308481,-0.33993
VOO,2020-02-19,-0.33993,peak,3,2020-02-19,2023-01-31,36,360000.0,397411.149689,453949.779676,0.10392,0.260972,-0.124548,-0.308481,37.0,-0.33993,140.0,-0.308481,-0.33993
VOO,2020-02-19,-0.33993,peak,5,2020-02-19,2025-01-31,60,600000.0,911930.938815,1154048.851256,0.519885,0.923415,-0.209799,-0.308481,37.0,-0.33993,140.0,-0.308481,-0.33993
VOO,2020-02-19,-0.33993,trough,1,2020-03-23,2021-02-26,12,120000.0,147941.565688,208164.684693,0.232846,0.734706,-0.289305,-0.094482,47.0,-0.094482,49.0,0.0,0.0
VOO,2020-02-19,-0.33993,trough,3,2020-03-23,2023-02-28,36,360000.0,389992.166964,670547.335113,0.083312,0.862631,-0.418397,-0.221932,,-0.245207,,-0.020976,0.0
VOO,2020-02-19,-0.33993,trough,5,2020-03-23,2025-02-28,60,600000.0,899312.625609,1726254.663588,0.498854,1.877091,-0.479038,-0.221932,273.0,-0.245207,427.0,-0.020976,0.0
VOO,2020-02-19,-0.33993,recovery,1,2020-08-10,2021-07-30,12,120000.0,141863.915982,159307.865236,0.182199,0.327566,-0.109498,-0.094482,19.0,-0.094482,49.0,-0.057932,-0.034572
VOO,2020-02-19,-0.33993,recovery,3,2020-08-10,2023-07-31,36,360000.0,419495.661153,514706.883161,0.165266,0.429741,-0.184981,-0.21528,258.0,-0.245207,,-0.096392,-0.034572
VOO,2020-02-19,-0.33993,recovery,5,2020-08-10,2025-07-31,60,600000.0,889587.206432,1217883.83372,0.482645,1.029806,-0.269563,-0.21528,258.0,-0.245207,427.0,-0.096392,-0.034572
VOO,2022-01-03,-0.245207,peak,1,2022-01-03,2022-12-30,12,120000.0,112226.85918,97592.066142,-0.064776,-0.186733,0.149959,-0.1716,60.0,-0.245207,,-0.16215,-0.245207
VOO,2022-01-03,-0.245207,peak,3,2022-01-03,2024-12-31,36,360000.0,480720.321221,462219.174121,0.335334,0.283942,0.040027,-0.1716,60.0,-0.245207,427.0,-0.16215,-0.245207
VOO,2022-01-03,-0.245207,trough,1,2022-10-12,2023-09-29,12,120000.0,126598.343499,146238.53022,0.054986,0.218654,-0.134302,-0.07132,26.0,-0.075364,46.0,-0.008602,0.0
VOO,2022-01-03,-0.245207,trough,3,2022-10-12,2025-09-30,36,360000.0,504425.44715,702566.811075,0.401182,0.951574,-0.282025,-0.184128,77.0,-0.186894,79.0,-0.008602,0.0
VOO,2022-01-03,-0.245207,recovery,1,2023-12-13,2024-11-29,12,120000.0,139614.547731,155728.511075,0.163455,0.297738,-0.103475,-0.080798,25.0,-0.084463,45.0,-0.006754,-0.002955
VOO,2025-02-19,-0.186894,peak,1,2025-02-19,2026-01-30,12,120000.0,134342.974199,137111.247785,0.119525,0.142594,-0.02019,-0.14926,34.0,-0.186894,79.0,-0.14926,-0.186894
VOO,2025-02-19,-0.186894,trough,1,2025-04-08,2026-03-31,12,120000.0,124891.19956,158877.174861,0.04076,0.323976,-0.213914,-0.08809,,-0.089005,,0.0,0.0
VOO,2025-02-19,-0.186894,recovery,1,2025-06-26,2026-05-29,12,120000.0,137845.288466,149710.604789,0.148711,0.247588,-0.079255,-0.087856,15.0,-0.089005,15.0,-0.03274,0.0
VTI,2011-04-29,-0.203041,peak,1,2011-04-29,2012-03-30,12,120000.0,133173.923023,125061.988473,0.109783,0.042183,0.064863,-0.174722,80.0,-0.203041,128.0,-0.167696,-0.203041
VTI,2011-04-29,-0.203041,peak,3,2011-04-29,2014-03-31,36,360000.0,488053.947526,527253.117071,0.355705,0.464592,-0.074346,-0.174722,80.0,-0.203041,128.0,-0.167696,-0.203041
VTI,2011-04-29,-0.203041,peak,5,2011-04-29,2016-03-31,60,600000.0,793797.188263,981930.983367,0.322995,0.636552,-0.191596,-0.174722,80.0,-0.203041,128.0,-0.167696,-0.203041
VTI,2011-04-29,-0.203041,peak,10,2011-04-29,2021-03-31,120,1200000.0,2665593.855228,4248769.458425,1.221328,2.540641,-0.37262,-0.349689,140.0,-0.350003,142.0,-0.167696,-0.203041
VTI,2011-04-29,-0.203041,trough,1,2011-10-03,2012-09-28,12,120000.0,133370.758985,161537.484741,0.111423,0.346146,-0.174366,-0.093598,28.0,-0.10059,74.0,-0.001843,0.0
VTI,2011-04-29,-0.203041,trough,3,2011-10-03,2014-09-30,36,360000.0,476587.61178,693156.347872,0.323854,0.925434,-0.312439,-0.093598,28.0,-0.10059,74.0,-0.001843,0.0
VTI,2011-04-29,-0.203041,trough,5,2011-10-03,2016-09-30,60,600000.0,803575.912642,1320803.305139,0.339293,1.201339,-0.391601,-0.145768,112.0,-0.151349,118.0,-0.001843,0.0
VTI,2011-04-29,-0.203041,trough,10,2011-10-03,2021-09-30,120,1200000.0,2703223.684399,5763357.237675,1.252686,3.802798,-0.530964,-0.349659,137.0,-0.350003,142.0,-0.001843,0.0
VTI,2011-04-29,-0.203041,recovery,1,2012-02-08,2013-01-31,12,120000.0,131460.470934,135801.842007,0.095504,0.131682,-0.031968,-0.086628,70.0,-0.10059,74.0,-0.068205,-0.056327
VTI,2011-04-29,-0.203041,recovery,3,2012-02-08,2015-01-30,36,360000.0,456204.671968,564582.549933,0.267235,0.568285,-0.191961,-0.086628,70.0,-0.10059,74.0,-0.068205,-0.056327
VTI,2011-04-29,-0.203041,recovery,5,2012-02-08,2017-01-31,60,600000.0,810386.893744,1115643.330605,0.350645,0.859406,-0.273615,-0.145076,111.0,-0.151349,118.0,-0.068205,-0.056327
VTI,2011-04-29,-0.203041,recovery,10,2012-02-08,2022-01-31,120,1200000.0,2631082.407418,4700296.879866,1.192569,2.916914,-0.440231,-0.349633,137.0,-0.350003,142.0,-0.068205,-0.056327
VTI,2015-06-23,-0.151349,peak,1,2015-06-23,2016-05-31,12,120000.0,124531.554268,118652.21046,0.037763,-0.011232,0.049551,-0.126448,48.0,-0.151349,,-0.108877,-0.151349
VTI,2015-06-23,-0.151349,peak,3,2015-06-23,2018-05-31,36,360000.0,448206.313431,482303.971265,0.245018,0.339733,-0.070697,-0.126448,48.0,-0.151349,118.0,-0.108877,-0.151349
VTI,2015-06-23,-0.151349,peak,5,2015-06-23,2020-05-29,60,600000.0,768842.150573,917291.930141,0.281404,0.52882,-0.161835,-0.349228,,-0.350003,,-0.108877,-0.151349
VTI,2015-06-23,-0.151349,peak,10,2015-06-23,2025-05-30,120,1200000.0,2389427.878355,3727678.324616,0.99119,2.106399,-0.359004,-0.349228,135.0,-0.350003,142.0,-0.108877,-0.151349
VTI,2015-06-23,-0.151349,trough,1,2016-02-11,2017-01-31,12,120000.0,132959.8636,155383.493428,0.107999,0.294862,-0.144312,-0.058888,11.0,-0.058888,11.0,0.0,0.0
VTI,2015-06-23,-0.151349,trough,3,2016-02-11,2019-01-31,36,360000.0,417312.366191,570599.672707,0.159201,0.584999,-0.268642,-0.198046,,-0.200464,,0.0,0.0
VTI,2015-06-23,-0.151349,trough,5,2016-02-11,2021-01-29,60,600000.0,911926.200018,1381549.536727,0.519877,1.302583,-0.339925,-0.349069,135.0,-0.350003,142.0,-0.103297,0.0
VTI,2015-06-23,-0.151349,trough,10,2016-02-11,2026-01-30,120,1200000.0,2612641.892541,5205258.109485,1.177202,3.337715,-0.498076,-0.349069,135.0,-0.350003,142.0,-0.103297,0.0
VTI,2015-06-23,-0.151349,recovery,1,2016-06-08,2017-05-31,12,120000.0,131487.281248,139307.113313,0.095727,0.160893,-0.056134,-0.058888,11.0,-0.058888,11.0,-0.058888,-0.058888
VTI,2015-06-23,-0.151349,recovery,3,2016-06-08,2019-05-31,36,360000.0,405758.834229,493174.35317,0.127108,0.369929,-0.177251,-0.197641,102.0,-0.200464,120.0,-0.058888,-0.058888
VTI,2015-06-23,-0.151349,recovery,5,2016-06-08,2021-05-28,60,600000.0,975544.639689,1319092.597003,0.625908,1.198488,-0.260443,-0.348957,135.0,-0.350003,142.0,-0.129416,-0.058888
VTI,2015-06-23,-0.151349,recovery,10,2016-06-08,2026-05-29,120,1200000.0,2736160.123157,4834760.181788,1.280133,3.028967,-0.434065,-0.348957,135.0,-0.350003,142.0,-0.129416,-0.058888
VTI,2018-09-20,-0.200464,peak,1,2018-09-20,2019-08-30,12,120000.0,125184.7808,120553.982321,0.043207,0.004617,0.038413,-0.173983,50.0,-0.200464,120.0,-0.173983,-0.200464
VTI,2018-09-20,-0.200464,peak,3,2018-09-20,2021-08-31,36,360000.0,532718.053687,585387.350011,0.479772,0.626076,-0.089973,-0.34711,121.0,-0.350003,142.0,-0.236049,-0.238096
VTI,2018-09-20,-0.200464,peak,5,2018-09-20,2023-08-31,60,600000.0,785782.309229,966237.841488,0.309637,0.610396,-0.186761,-0.34711,121.0,-0.350003,142.0,-0.236049,-0.238096
VTI,2018-09-20,-0.200464,trough,1,2018-12-24,2019-11-29,12,120000.0,135660.247938,162630.041553,0.130502,0.35525,-0.165835,-0.065989,18.0,-0.067848,17.0,0.0,0.0
VTI,2018-09-20,-0.200464,trough,3,2018-12-24,2021-11-30,36,360000.0,518178.477206,735352.265699,0.439385,1.042645,-0.295333,-0.346592,119.0,-0.350003,142.0,-0.230034,-0.047066
VTI,2018-09-20,-0.200464,trough,5,2018-12-24,2023-11-30,60,600000.0,781378.544751,1225493.574271,0.302298,1.042489,-0.362397,-0.346592,119.0,-0.350003,142.0,-0.230034,-0.047066
