ticker,horizon_years,windows,first_start,last_start,dca_return_median,dca_return_min,dca_return_max,lump_sum_return_median,lump_sum_return_min,lump_sum_return_max,lump_sum_win_rate,dca_vs_lump_sum_median,dca_vs_lump_sum_min,dca_vs_lump_sum_max,dca_loss_rate,lump_sum_loss_rate,dca_max_drawdown_median,dca_max_drawdown_worst,lump_sum_max_drawdown_median,lump_sum_max_drawdown_worst,dca_unrecovered_rate,lump_sum_unrecovered_rate
VOO,1,181,2010-09-09,2025-09-02,0.090576,-0.159518,0.230901,0.156671,-0.186733,0.638562,0.834254,-0.062589,-0.253522,0.149959,0.121547,0.099448,-0.097918,-0.335295,-0.100889,-0.33993,0.19337,0.276243
VOO,3,157,2010-09-09,2023-09-01,0.238974,-0.0272,0.476783,0.456312,0.162165,1.000374,0.980892,-0.16558,-0.370282,0.040027,0.012739,0.0,-0.183743,-0.338553,-0.187546,-0.33993,0.121019,0.178344
VOO,5,133,2010-09-09,2021-09-01,0.382002,0.117932,0.680571,0.893082,0.388099,1.452996,1.0,-0.258746,-0.435163,-0.12842,0.0,0.0,-0.213135,-0.339211,-0.245207,-0.33993,0.067669,0.067669
VOO,10,73,2010-09-09,2016-09-01,1.105215,0.651448,1.403286,2.547885,1.851686,3.757639,1.0,-0.428588,-0.527203,-0.362476,0.0,0.0,-0.339429,-0.339659,-0.33993,-0.33993,0.0,0.0
VTI,1,181,2010-09-09,2025-09-02,0.087001,-0.165677,0.248819,0.148483,-0.200302,0.708093,0.823204,-0.06221,-0.268881,0.163217,0.154696,0.121547,-0.09968,-0.345251,-0.107228,-0.350003,0.21547,0.303867
VTI,3,157,2010-09-09,2023-09-01,0.233899,-0.052447,0.480209,0.448724,0.127369,0.986837,0.961783,-0.16635,-0.381251,0.059581,0.012739,0.0,-0.189804,-0.348581,-0.200464,-0.350003,0.152866,0.191083
VTI,5,133,2010-09-09,2021-09-01,0.370312,0.086085,0.67882,0.85706,0.326111,1.408246,1.0,-0.253092,-0.439918,-0.096603,0.0,0.0,-0.225865,-0.349259,-0.253633,-0.350003,0.067669,0.067669
VTI,10,73,2010-09-09,2016-09-01,1.054908,0.606126,1.387499,2.39697,1.700265,3.802798,1.0,-0.425481,-0.530964,-0.350902,0.0,0.0,-0.349483,-0.349721,-0.350003,-0.350003,0.0,0.0
VT,1,181,2010-09-09,2025-09-02,0.063562,-0.179536,0.233859,0.121341,-0.214539,0.650753,0.745856,-0.048411,-0.252548,0.160085,0.20442,0.226519,-0.106498,-0.33766,-0.126708,-0.342362,0.281768,0.381215
VT,3,157,2010-09-09,2023-09-01,0.185743,-0.105871,0.403274,0.311186,0.034242,0.811804,0.917197,-0.128936,-0.349149,0.066878,0.044586,0.0,-0.18007,-0.340898,-0.199726,-0.342362,0.178344,0.261146
