ticker,horizon_years,start_price_drawdown,start,end,months,total_contributed,dca_final_value,lump_sum_final_value,dca_return,lump_sum_return,dca_vs_lump_sum,dca_max_drawdown,dca_days_to_recover,lump_sum_max_drawdown,lump_sum_days_to_recover,dca_worst_vs_contributed,lump_sum_worst_vs_contributed
VOO,1,0.0,2010-09-09,2011-08-31,12,120000.0,117415.275686,134847.587317,-0.021539,0.12373,-0.129274,-0.167452,,-0.173245,,-0.100391,0.0
VOO,1,-0.002857,2010-10-01,2011-09-30,12,120000.0,108385.599384,120959.312671,-0.096787,0.007994,-0.10395,-0.167103,,-0.173245,,-0.112533,-0.008404
VOO,1,-0.00129,2010-11-01,2011-10-31,12,120000.0,120290.706156,129452.948116,0.002423,0.078775,-0.070777,-0.16669,,-0.187546,,-0.123209,-0.05579
VOO,1,-0.01373,2010-12-01,2011-11-30,12,120000.0,119420.144474,126432.077692,-0.004832,0.053601,-0.05546,-0.16619,,-0.187546,,-0.132546,-0.075081
VOO,1,0.0,2011-01-03,2011-12-30,12,120000.0,120230.041169,121140.645215,0.001917,0.009505,-0.007517,-0.165563,,-0.187546,,-0.141765,-0.123659
VOO,1,0.0,2011-02-01,2012-01-31,12,120000.0,125356.889133,123044.909986,0.044641,0.025374,0.01879,-0.164786,146.0,-0.187546,,-0.146555,-0.147998
VOO,1,-0.027462,2011-03-01,2012-02-29,12,120000.0,130361.806644,128142.03832,0.086348,0.06785,0.017323,-0.163768,78.0,-0.187546,123.0,-0.148814,-0.149137
VOO,1,-0.005969,2011-04-01,2012-03-30,12,120000.0,133899.039631,129511.864337,0.115825,0.079266,0.033875,-0.162333,78.0,-0.187546,123.0,-0.151744,-0.167534
VOO,1,-0.002244,2011-05-02,2012-04-30,12,120000.0,132178.989235,125875.962811,0.101492,0.048966,0.050073,-0.16021,78.0,-0.185719,123.0,-0.15146,-0.185719
VOO,1,-0.033654,2011-06-01,2012-05-31,12,120000.0,123721.699496,122164.527008,0.031014,0.018038,0.012747,-0.156754,75.0,-0.185076,123.0,-0.144818,-0.159251
VOO,1,-0.013659,2011-07-01,2012-06-29,12,120000.0,128911.759736,124638.164098,0.074265,0.038651,0.034288,-0.149582,69.0,-0.185076,123.0,-0.145,-0.176294
VOO,1,-0.051664,2011-08-01,2012-07-31,12,120000.0,130045.443399,131194.074876,0.083712,0.093284,-0.008755,-0.128205,61.0,-0.143285,24.0,-0.128205,-0.143285
VOO,1,-0.109475,2011-09-01,2012-08-31,12,120000.0,132360.509378,143213.119102,0.103004,0.193443,-0.075779,-0.090209,28.0,-0.096652,11.0,-0.061664,-0.087668
VOO,1,-0.187546,2011-10-03,2012-09-28,12,120000.0,133781.206365,160980.333925,0.114843,0.341503,-0.168959,-0.090209,28.0,-0.096549,41.0,0.0,0.0
VOO,1,-0.096373,2011-11-01,2012-10-31,12,120000.0,127797.212057,141905.698333,0.064977,0.182547,-0.099422,-0.090209,12.0,-0.096471,73.0,-0.047491,-0.047491
VOO,1,-0.075159,2011-12-01,2012-11-30,12,120000.0,126575.992781,139444.30705,0.0548,0.162036,-0.092283,-0.084085,70.0,-0.096471,73.0,-0.033123,-0.031168
VOO,1,-0.050241,2012-01-03,2012-12-31,12,120000.0,126257.83678,137161.998716,0.052149,0.143017,-0.079498,-0.083835,70.0,-0.096471,73.0,-0.044871,0.0
VOO,1,-0.012935,2012-02-01,2013-01-31,12,120000.0,131027.174252,138800.542868,0.091893,0.156671,-0.056004,-0.083458,70.0,-0.096471,73.0,-0.058175,-0.028032
VOO,1,0.0,2012-03-01,2013-02-28,12,120000.0,131082.164028,135262.692786,0.092351,0.127189,-0.030907,-0.082833,46.0,-0.096471,73.0,-0.072257,-0.065214
VOO,1,0.0,2012-04-02,2013-03-28,12,120000.0,134472.783866,135462.714221,0.120607,0.128856,-0.007308,-0.081598,42.0,-0.096471,73.0,-0.081598,-0.096471
VOO,1,-0.007859,2012-05-01,2013-04-30,12,120000.0,136001.492043,139394.686269,0.133346,0.161622,-0.024342,-0.077975,28.0,-0.089313,64.0,-0.077975,-0.089313
VOO,1,-0.096163,2012-06-01,2013-05-31,12,120000.0,137601.912861,156569.697479,0.146683,0.304747,-0.121146,-0.069177,33.0,-0.074074,48.0,-0.013907,-0.000341
VOO,1,-0.032558,2012-07-02,2013-06-28,12,120000.0,132474.604273,144070.435961,0.103955,0.200587,-0.080487,-0.068415,33.0,-0.074074,48.0,-0.030553,-0.022418
VOO,1,-0.024657,2012-08-01,2013-07-31,12,120000.0,137310.493841,150483.08813,0.144254,0.254026,-0.087535,-0.06732,33.0,-0.074074,48.0,-0.037947,-0.009071
VOO,1,-0.009834,2012-09-04,2013-08-30,12,120000.0,130500.529421,142496.067102,0.087504,0.187467,-0.084182,-0.06547,33.0,-0.074074,48.0,-0.047572,-0.03183
VOO,1,-0.014852,2012-10-01,2013-09-30,12,120000.0,132925.433827,143022.085996,0.107712,0.191851,-0.070595,-0.061766,27.0,-0.072613,48.0,-0.055444,-0.060115
VOO,1,-0.024548,2012-11-01,2013-10-31,12,120000.0,136780.305644,150896.895904,0.139836,0.257474,-0.093551,-0.053878,17.0,-0.055731,17.0,-0.050772,-0.050772
VOO,1,-0.033798,2012-12-03,2013-11-29,12,120000.0,138197.003959,156905.551196,0.151642,0.307546,-0.119234,-0.053593,17.0,-0.055731,17.0,-0.003384,-0.003384
VOO,1,0.0,2013-01-02,2013-12-31,12,120000.0,138701.19519,155034.806932,0.155843,0.291957,-0.105354,-0.053199,17.0,-0.055731,17.0,-0.002395,-0.002395
VOO,1,0.0,2013-02-01,2014-01-31,12,120000.0,131076.817811,144334.157541,0.092307,0.202785,-0.091852,-0.052653,15.0,-0.055731,17.0,-0.014302,-0.014302
VOO,1,-0.006986,2013-03-01,2014-02-28,12,120000.0,135174.602955,149991.983772,0.126455,0.249933,-0.098788,-0.052431,11.0,-0.056678,21.0,0.0,0.0
VOO,1,-0.002791,2013-04-01,2014-03-31,12,120000.0,133913.044643,146825.332435,0.115942,0.223544,-0.087943,-0.051996,11.0,-0.056678,21.0,-0.014138,-0.014138
VOO,1,-0.009024,2013-05-01,2014-04-30,12,120000.0,132563.338534,145765.840887,0.104694,0.214715,-0.090573,-0.051479,11.0,-0.056678,21.0,-0.021063,-0.002838
VOO,1,-0.017115,2013-06-03,2014-05-30,12,120000.0,133407.951597,143659.722224,0.111733,0.197164,-0.071361,-0.050845,11.0,-0.056678,21.0,-0.039288,-0.039288
VOO,1,-0.029731,2013-07-01,2014-06-30,12,120000.0,134168.044506,148567.646486,0.118067,0.238064,-0.096923,-0.050068,11.0,-0.056678,21.0,-0.015266,-0.001489
VOO,1,0.0,2013-08-01,2014-07-31,12,120000.0,129904.503507,138500.062502,0.082538,0.154167,-0.062062,-0.049037,11.0,-0.056678,21.0,-0.042983,-0.042983
VOO,1,-0.038319,2013-09-03,2014-08-29,12,120000.0,133487.546373,149510.534333,0.112396,0.245921,-0.10717,-0.047715,10.0,-0.056678,21.0,-0.005486,0.0
VOO,1,-0.016644,2013-10-01,2014-09-30,12,120000.0,129222.068513,142359.834435,0.076851,0.186332,-0.092286,-0.045754,10.0,-0.056678,21.0,-0.022941,-0.022941
VOO,1,-0.006466,2013-11-01,2014-10-31,12,120000.0,130555.638678,140215.151635,0.087964,0.16846,-0.068891,-0.070612,15.0,-0.072996,15.0,-0.020794,-0.006756
VOO,1,-0.003013,2013-12-02,2014-11-28,12,120000.0,132418.953227,140511.276598,0.103491,0.170927,-0.057592,-0.070377,15.0,-0.072996,15.0,-0.025945,-0.029991
VOO,1,-0.008986,2014-01-02,2014-12-31,12,120000.0,129656.803099,136742.266123,0.080473,0.139519,-0.051816,-0.070099,15.0,-0.072996,15.0,-0.031319,-0.047843
VOO,1,-0.056678,2014-02-03,2015-01-30,12,120000.0,124578.507879,139489.242231,0.038154,0.16241,-0.106895,-0.069761,15.0,-0.072996,15.0,-0.012314,0.0
VOO,1,-0.006857,2014-03-03,2015-02-27,12,120000.0,129694.879822,138711.835295,0.080791,0.155932,-0.065005,-0.06931,15.0,-0.072996,15.0,-0.025289,-0.014405
VOO,1,0.0,2014-04-01,2015-03-31,12,120000.0,126058.645195,133517.403174,0.050489,0.112645,-0.055864,-0.068752,15.0,-0.072996,15.0,-0.036174,-0.036174
VOO,1,-0.002831,2014-05-01,2015-04-30,12,120000.0,126219.41019,134780.003384,0.051828,0.123167,-0.063515,-0.068015,15.0,-0.072996,15.0,-0.035933,-0.008227
VOO,1,0.0,2014-06-02,2015-05-29,12,120000.0,126446.06347,133231.363813,0.053717,0.110261,-0.050929,-0.06697,15.0,-0.072996,15.0,-0.042778,-0.025367
VOO,1,0.0,2014-07-01,2015-06-30,12,120000.0,122880.240632,127244.622218,0.024002,0.060372,-0.034299,-0.065416,14.0,-0.072996,15.0,-0.04713,-0.050679
VOO,1,-0.030854,2014-08-01,2015-07-31,12,120000.0,124861.055087,133077.960718,0.040509,0.108983,-0.061745,-0.062874,14.0,-0.072996,15.0,-0.045948,-0.028308
VOO,1,-0.000272,2014-09-02,2015-08-31,12,120000.0,116205.544363,119879.834337,-0.03162,-0.001001,-0.03065,-0.119037,,-0.119986,,-0.082737,-0.067452
VOO,1,-0.032271,2014-10-01,2015-09-30,12,120000.0,113657.361107,120104.963276,-0.052855,0.000875,-0.053683,-0.118948,,-0.119986,,-0.085374,-0.042083
VOO,1,0.0,2014-11-03,2015-10-30,12,120000.0,123223.330214,125454.628675,0.026861,0.045455,-0.017786,-0.118837,64.0,-0.119986,,-0.091112,-0.063817
VOO,1,-0.00898,2014-12-01,2015-11-30,12,120000.0,123172.925749,123524.697991,0.026441,0.029372,-0.002848,-0.118705,59.0,-0.119986,,-0.094145,-0.082121
VOO,1,-0.015777,2015-01-02,2015-12-31,12,120000.0,120649.209721,121590.110031,0.00541,0.013251,-0.007738,-0.118542,59.0,-0.119986,,-0.095648,-0.080513
