ticker,peak,trough,recovery,depth
VOO,2011-04-29,2011-10-03,2012-02-03,-0.18754558053967363
VOO,2018-09-20,2018-12-24,2019-04-12,-0.19476782786481528
VOO,2020-02-19,2020-03-23,2020-08-10,-0.33992982231722924
VOO,2022-01-03,2022-10-12,2023-12-13,-0.24520716585473945
VOO,2025-02-19,2025-04-08,2025-06-26,-0.18689381229640267
VTI,2011-04-29,2011-10-03,2012-02-08,-0.20304067809170212
VTI,2015-06-23,2016-02-11,2016-06-08,-0.15134881495229846
VTI,2018-09-20,2018-12-24,2019-04-23,-0.20046447120045696
VTI,2020-02-19,2020-03-23,2020-08-12,-0.3500028044175809
VTI,2022-01-03,2022-10-12,2023-12-19,-0.25363322697626967
VTI,2025-02-19,2025-04-08,2025-06-27,-0.19303598980946568
VT,2011-04-29,2011-10-03,2013-01-02,-0.23832409319348435
VT,2015-05-21,2016-02-11,2016-12-13,-0.19789845302184061
VT,2018-01-26,2018-12-24,2019-10-28,-0.19972608512913592
VT,2020-02-12,2020-03-23,2020-08-24,-0.3423621375847057
VT,2021-11-08,2022-10-12,2024-01-29,-0.263820234114164
VT,2025-02-18,2025-04-08,2025-05-16,-0.16514507185556127
EWJ,2011-02-17,2012-06-01,2013-04-10,-0.23941775469150828
EWJ,2015-04-28,2016-02-11,2017-02-21,-0.21558502432159743
EWJ,2018-01-26,2020-03-16,2020-11-09,-0.30693017785087784
EWJ,2021-09-15,2022-10-20,2024-03-06,-0.33144072947341685
BND,2020-08-06,2022-10-20,,-0.1858213980678659
