strategy,regime,trading_days,spells,cumulative_return,return_annualized,volatility_annualized,sharpe_ratio,max_drawdown_within_spell,losing_spells,recovered_spells,median_recovery_days
Buy & Hold VOO,bull,3202,39,3.845211919,0.1322300367,0.1269503374,0.9232013634,-0.1207059709,28,28,13.5
Buy & Hold VOO,bear,577,39,0.8055809203,0.2944203839,0.3106096892,0.9408163473,-0.2613677057,5,5,6
Buy & Hold VOO,high_volatility,677,12,1.07136572,0.3113553682,0.275637533,1.07339288,-0.2861106168,3,3,1
Buy & Hold VOO,low_volatility,1580,35,0.5204327193,0.06911055646,0.1123714582,0.5231570241,-0.09219099984,18,18,9
Buy & Hold VOO,large_drawdown,214,24,0.8371033836,1.046613453,0.3806832159,2.014939751,-0.1852988672,0,0,
60/40 annual rebalance,bull,3202,39,1.989157145,0.08999893235,0.078979575,0.9395929871,-0.07194144599,26,26,15.5
60/40 annual rebalance,bear,577,39,0.4354330719,0.1710110958,0.1870929521,0.8617369962,-0.166637421,4,4,92.5
60/40 annual rebalance,high_volatility,677,12,0.5299255885,0.1714935667,0.1677900526,0.9481290214,-0.1816269461,3,3,1
60/40 annual rebalance,low_volatility,1580,35,0.3717731729,0.05170916568,0.07020230357,0.5482604157,-0.07194144599,16,16,7.5
60/40 annual rebalance,large_drawdown,214,24,0.4494408479,0.5481922302,0.2313387791,1.910636351,-0.1083223033,0,0,
VOO 200-day trend,bull,3202,39,3.000531658,0.1152883169,0.1233476559,0.8241388565,-0.1207059709,21,21,49
VOO 200-day trend,bear,577,39,-0.0996766377,-0.04482284058,0.2158851253,-0.1683673994,-0.2613677057,12,12,113.5
VOO 200-day trend,high_volatility,677,12,-0.07847829138,-0.02996390799,0.193702433,-0.1270420042,-0.2861106168,5,5,143
VOO 200-day trend,low_volatility,1580,35,0.5027353748,0.06711602259,0.1121586501,0.5072833546,-0.09219099984,19,19,29
VOO 200-day trend,large_drawdown,214,24,0.007464355434,0.008795615051,0.2888563917,0.1006583399,-0.1852988672,5,5,3
Momentum top 1,bull,3202,39,1.7225145,0.08201307314,0.1291206117,0.5585263337,-0.1589347443,17,17,12
Momentum top 1,bear,577,39,0.002819835227,0.001230563232,0.2642748427,0.08415215275,-0.2613677057,8,8,273.5
Momentum top 1,high_volatility,677,12,0.1379303747,0.04927171876,0.217172628,0.2699381595,-0.2861106168,6,6,103.5
Momentum top 1,low_volatility,1580,35,0.1611476413,0.0241159656,0.1235811152,0.1384789014,-0.1358944781,17,17,11
Momentum top 1,large_drawdown,214,24,0.1945683184,0.2328815562,0.3068818633,0.7648270111,-0.1852988672,4,4,53
