regime,start,end,trading_days
bull,2011-10-28,2011-10-31,2
bull,2011-11-09,2011-11-09,1
bull,2011-11-14,2011-11-14,1
bull,2011-12-06,2011-12-08,3
bull,2011-12-12,2011-12-12,1
bull,2011-12-23,2012-11-14,224
bull,2012-11-20,2014-10-13,477
bull,2014-10-21,2015-08-20,210
bull,2015-10-23,2015-11-12,15
bull,2015-11-17,2015-12-11,18
bull,2015-12-17,2015-12-17,1
bull,2015-12-24,2015-12-31,5
bull,2016-03-14,2016-06-27,74
bull,2016-06-29,2018-10-11,577
bull,2018-10-15,2018-10-23,7
bull,2018-11-07,2018-11-12,4
bull,2018-11-29,2018-11-29,1
bull,2018-12-03,2018-12-04,2
bull,2019-02-05,2019-02-07,3
bull,2019-02-13,2019-05-31,75
bull,2019-06-05,2020-02-27,185
bull,2020-03-03,2020-03-03,1
bull,2020-03-05,2020-03-05,1
bull,2020-05-27,2022-01-21,419
bull,2022-01-25,2022-01-25,1
bull,2022-01-31,2022-02-11,10
bull,2022-02-16,2022-02-17,2
bull,2022-03-21,2022-04-11,16
bull,2022-08-17,2022-08-17,1
bull,2022-12-01,2022-12-05,3
bull,2022-12-14,2022-12-14,1
bull,2023-01-12,2023-01-18,4
bull,2023-01-23,2023-03-10,34
bull,2023-03-15,2023-03-15,1
bull,2023-03-17,2023-10-25,154
bull,2023-11-02,2025-03-10,337
bull,2025-03-25,2025-03-26,2
bull,2025-05-13,2026-03-20,215
bull,2026-04-09,2026-09-21,114
bear,2011-09-09,2011-10-27,35
bear,2011-11-01,2011-11-08,6
bear,2011-11-10,2011-11-11,2
bear,2011-11-15,2011-12-05,14
bear,2011-12-09,2011-12-09,1
bear,2011-12-13,2011-12-22,8
bear,2012-11-15,2012-11-19,3
bear,2014-10-14,2014-10-20,5
bear,2015-08-21,2015-10-22,44
bear,2015-11-13,2015-11-16,2
bear,2015-12-14,2015-12-16,3
bear,2015-12-18,2015-12-23,4
bear,2016-01-04,2016-03-11,48
bear,2016-06-28,2016-06-28,1
bear,2018-10-12,2018-10-12,1
bear,2018-10-24,2018-11-06,10
bear,2018-11-13,2018-11-28,11
bear,2018-11-30,2018-11-30,1
bear,2018-12-06,2019-02-04,40
bear,2019-02-08,2019-02-12,3
bear,2019-06-03,2019-06-04,2
bear,2020-02-28,2020-03-02,2
bear,2020-03-04,2020-03-04,1
bear,2020-03-06,2020-05-26,56
bear,2022-01-24,2022-01-24,1
bear,2022-01-26,2022-01-28,3
bear,2022-02-14,2022-02-15,2
bear,2022-02-18,2022-03-18,20
bear,2022-04-12,2022-08-16,87
bear,2022-08-18,2022-11-30,73
bear,2022-12-06,2022-12-13,6
bear,2022-12-15,2023-01-11,18
bear,2023-01-19,2023-01-20,2
bear,2023-03-13,2023-03-14,2
bear,2023-03-16,2023-03-16,1
bear,2023-10-26,2023-11-01,5
bear,2025-03-11,2025-03-24,10
bear,2025-03-27,2025-05-12,32
bear,2026-03-23,2026-04-08,12
high_volatility,2011-09-09,2012-02-06,103
high_volatility,2015-09-09,2015-11-20,53
high_volatility,2016-03-02,2016-03-08,5
high_volatility,2016-03-14,2016-03-15,2
high_volatility,2018-04-03,2018-05-07,25
high_volatility,2018-12-24,2019-03-08,51
high_volatility,2020-03-05,2020-08-17,115
high_volatility,2020-09-09,2020-09-10,2
high_volatility,2020-11-05,2020-12-03,20
high_volatility,2022-03-08,2022-03-08,1
high_volatility,2022-03-10,2023-02-13,234
high_volatility,2025-04-07,2025-07-11,66
low_volatility,2012-03-15,2012-05-04,36
low_volatility,2012-05-08,2012-05-08,1
low_volatility,2012-10-01,2012-11-19,34
low_volatility,2012-12-10,2012-12-21,10
low_volatility,2012-12-28,2012-12-28,1
low_volatility,2013-02-11,2013-06-11,84
low_volatility,2013-09-09,2014-02-07,106
low_volatility,2014-02-11,2014-03-04,15
low_volatility,2014-03-12,2014-03-13,2
low_volatility,2014-03-17,2014-03-18,2
low_volatility,2014-03-24,2014-04-07,11
low_volatility,2014-05-01,2014-10-13,115
low_volatility,2014-10-16,2014-10-17,2
low_volatility,2015-04-24,2015-08-21,84
low_volatility,2016-05-17,2016-06-24,28
low_volatility,2016-09-26,2018-02-06,344
low_volatility,2018-07-02,2018-10-24,81
low_volatility,2019-04-08,2019-06-04,40
low_volatility,2019-06-24,2019-08-01,28
low_volatility,2019-11-15,2020-02-24,67
low_volatility,2021-06-07,2021-11-30,124
low_volatility,2023-06-23,2023-06-27,3
low_volatility,2023-06-30,2023-10-25,82
low_volatility,2024-01-04,2024-01-08,3
low_volatility,2024-01-16,2024-04-26,72
low_volatility,2024-05-03,2024-05-06,2
low_volatility,2024-05-09,2024-05-09,1
low_volatility,2024-05-13,2024-08-05,58
low_volatility,2024-12-03,2024-12-23,15
low_volatility,2025-07-28,2025-08-01,5
low_volatility,2025-08-13,2025-11-24,73
low_volatility,2026-01-13,2026-02-06,18
low_volatility,2026-02-10,2026-03-20,28
low_volatility,2026-03-26,2026-03-26,1
low_volatility,2026-09-16,2026-09-21,4
large_drawdown,2011-09-23,2011-09-26,2
large_drawdown,2011-10-03,2011-10-06,4
large_drawdown,2018-12-21,2018-12-27,4
large_drawdown,2019-01-04,2019-01-04,1
large_drawdown,2020-03-10,2020-03-10,1
large_drawdown,2020-03-12,2020-04-17,26
large_drawdown,2020-04-21,2020-04-27,5
large_drawdown,2020-04-29,2020-04-29,1
large_drawdown,2020-05-04,2020-05-07,4
large_drawdown,2020-05-14,2020-05-18,3
large_drawdown,2022-05-10,2022-05-17,6
large_drawdown,2022-05-19,2022-05-26,6
large_drawdown,2022-06-10,2022-07-28,33
large_drawdown,2022-08-30,2022-09-09,8
large_drawdown,2022-09-14,2022-11-23,51
large_drawdown,2022-11-29,2022-11-30,2
large_drawdown,2022-12-06,2022-12-13,6
large_drawdown,2022-12-15,2023-01-23,25
large_drawdown,2023-02-22,2023-02-23,2
large_drawdown,2023-02-27,2023-03-03,5
large_drawdown,2023-03-08,2023-03-21,10
large_drawdown,2023-03-23,2023-03-29,5
large_drawdown,2025-04-07,2025-04-09,3
large_drawdown,2025-04-22,2025-04-22,1
