date,strategy,window_days,rolling_return_annualized,rolling_volatility_annualized,rolling_sharpe,rolling_max_drawdown,rolling_excess_return_vs_benchmark
2011-12-07,Buy & Hold VOO,63,0.45482443,0.2792902639,1.477257777,-0.09665241671,0
2011-12-08,Buy & Hold VOO,63,0.3386238283,0.2830865992,1.170587253,-0.09665241671,0
2011-12-09,Buy & Hold VOO,63,0.3912931272,0.2845771414,1.304256636,-0.09665241671,0
2011-12-12,Buy & Hold VOO,63,0.270472483,0.2859858422,0.9789916855,-0.09665241671,0
2011-12-13,Buy & Hold VOO,63,0.1561629689,0.2855200513,0.6503952478,-0.09665241671,0
2011-12-14,Buy & Hold VOO,63,0.03228278657,0.2845050971,0.2510268898,-0.09665241671,0
2011-12-15,Buy & Hold VOO,63,0.02340392055,0.2843627033,0.2237541899,-0.09665241671,0
2011-12-16,Buy & Hold VOO,63,0.06547054995,0.2836988278,0.3653286497,-0.09654919104,0
2011-12-19,Buy & Hold VOO,63,0.02935172019,0.2844655811,0.2441225515,-0.09654919104,0
2011-12-20,Buy & Hold VOO,63,0.3089966574,0.2836452416,1.089638181,-0.09654919104,0
2011-12-21,Buy & Hold VOO,63,0.5047575482,0.275816852,1.613454607,-0.09654919104,0
2011-12-22,Buy & Hold VOO,63,0.5337066134,0.2761871062,1.683674907,-0.09654919104,0
2011-12-23,Buy & Hold VOO,63,0.437779387,0.272691724,1.465193248,-0.09654919104,0
2011-12-27,Buy & Hold VOO,63,0.3792783824,0.2719494736,1.316102997,-0.09654919104,0
2011-12-28,Buy & Hold VOO,63,0.4228552551,0.2699319161,1.441818334,-0.09654919104,0
2011-12-29,Buy & Hold VOO,63,0.4335081058,0.2701187143,1.468590346,-0.09654919104,0
2011-12-30,Buy & Hold VOO,63,0.5543263128,0.2654188615,1.794257179,-0.09654919104,0
2012-01-03,Buy & Hold VOO,63,0.8674835303,0.258203305,2.550075572,-0.09654919104,0
2012-01-04,Buy & Hold VOO,63,0.7240817203,0.2552052137,2.264074421,-0.09654919104,0
2012-01-05,Buy & Hold VOO,63,0.6142810117,0.2526974318,2.023826474,-0.09654919104,0
2012-01-06,Buy & Hold VOO,63,0.4831427827,0.2503579436,1.699365028,-0.09654919104,0
2012-01-09,Buy & Hold VOO,63,0.5391079474,0.2496319222,1.851966001,-0.09654919104,0
2012-01-10,Buy & Hold VOO,63,0.3938605334,0.2414392032,1.493643461,-0.09654919104,0
2012-01-11,Buy & Hold VOO,63,0.4015801717,0.2414132027,1.523887407,-0.09654919104,0
2012-01-12,Buy & Hold VOO,63,0.3633758802,0.2409126773,1.408541684,-0.09654919104,0
2012-01-13,Buy & Hold VOO,63,0.3483175584,0.2411067573,1.365261976,-0.09654919104,0
2012-01-17,Buy & Hold VOO,63,0.2765282574,0.239137056,1.142689132,-0.09654919104,0
2012-01-18,Buy & Hold VOO,63,0.439430868,0.2365214234,1.659881857,-0.09654919104,0
2012-01-19,Buy & Hold VOO,63,0.3583777244,0.2336683573,1.432779907,-0.09654919104,0
2012-01-20,Buy & Hold VOO,63,0.4284221621,0.2319964559,1.657822314,-0.09654919104,0
2012-01-23,Buy & Hold VOO,63,0.4085047132,0.2319184548,1.597830505,-0.09654919104,0
2012-01-24,Buy & Hold VOO,63,0.2972984259,0.2291476773,1.252569633,-0.09654919104,0
2012-01-25,Buy & Hold VOO,63,0.2774813102,0.2284804009,1.188285807,-0.09654919104,0
2012-01-26,Buy & Hold VOO,63,0.3532722129,0.2250582163,1.46292927,-0.09654919104,0
2012-01-27,Buy & Hold VOO,63,0.2956525873,0.2244810391,1.272488718,-0.09654919104,0
2012-01-30,Buy & Hold VOO,63,0.1163190549,0.2141320378,0.6212178749,-0.09654919104,0
2012-01-31,Buy & Hold VOO,63,0.1095538773,0.2141393475,0.5969432324,-0.09654919104,0
2012-02-01,Buy & Hold VOO,63,0.278610728,0.2081376239,1.283565426,-0.09020867363,0
2012-02-02,Buy & Hold VOO,63,0.4350395718,0.2004519412,1.910621753,-0.09020867363,0
