strategy,ticker,entry_date,exit_date,holding_days,cost,proceeds,profit,return
VOO 200-day trend,BIL,2011-09-09,2012-01-04,117,10000,9973.929677,-26.07032273,-0.002607032273
VOO 200-day trend,BIL,2015-09-02,2015-11-03,62,16302.32874,16266.20738,-36.12135688,-0.002215717611
VOO 200-day trend,BIL,2016-01-05,2016-04-04,90,15588.32003,15557.17454,-31.14548678,-0.001998001499
VOO 200-day trend,BIL,2018-11-02,2018-12-04,32,21521.75435,21515.61874,-6.135610662,-0.0002850887787
VOO 200-day trend,BIL,2019-01-03,2019-03-04,60,19492.07643,19518.90259,26.82616397,0.001376259942
VOO 200-day trend,BIL,2019-06-04,2019-07-02,28,19652.86632,19646.84175,-6.024564301,-0.0003065488872
VOO 200-day trend,BIL,2020-04-02,2020-06-02,61,16909.1769,16870.60693,-38.5699765,-0.002281008515
VOO 200-day trend,BIL,2022-03-02,2022-04-04,33,24592.44167,24545.99603,-46.44563557,-0.001888614242
VOO 200-day trend,BIL,2022-05-03,2022-12-02,213,22331.11822,22522.30796,191.189747,0.008561584115
VOO 200-day trend,BIL,2023-01-04,2023-02-02,29,21287.2185,21315.79197,28.57347096,0.001342282975
VOO 200-day trend,BIL,2025-04-02,2025-06-03,62,29778.39853,29929.9521,151.5535713,0.005089379509
VOO 200-day trend,BIL,2026-04-02,2026-05-04,32,33261.51809,33293.15207,31.63398769,0.0009510686675
VOO 200-day trend,VOO,2012-01-04,2015-09-02,1337,9973.929677,16302.32874,6328.39906,0.6344940525
VOO 200-day trend,VOO,2015-11-03,2016-01-05,63,16266.20738,15588.32003,-677.8873533,-0.04167457954
VOO 200-day trend,VOO,2016-04-04,2018-11-02,942,15557.17454,21521.75435,5964.579808,0.3833973703
VOO 200-day trend,VOO,2018-12-04,2019-01-03,30,21515.61874,19492.07643,-2023.542312,-0.09404992423
VOO 200-day trend,VOO,2019-03-04,2019-06-04,92,19518.90259,19652.86632,133.9637275,0.006863281728
VOO 200-day trend,VOO,2019-07-02,2020-04-02,275,19646.84175,16909.1769,-2737.664851,-0.1393437625
VOO 200-day trend,VOO,2020-06-02,2022-03-02,638,16870.60693,24592.44167,7721.83474,0.4577093624
VOO 200-day trend,VOO,2022-04-04,2022-05-03,29,24545.99603,22331.11822,-2214.877815,-0.09023377222
VOO 200-day trend,VOO,2022-12-02,2023-01-04,33,22522.30796,21287.2185,-1235.089467,-0.05483849474
VOO 200-day trend,VOO,2023-02-02,2025-04-02,790,21315.79197,29778.39853,8462.606562,0.3970111256
VOO 200-day trend,VOO,2025-06-03,2026-04-02,303,29929.9521,33261.51809,3331.565986,0.1113121055
Momentum top 1,VOO,2011-09-09,2011-10-04,25,10000,9708.516645,-291.4833545,-0.02914833545
Momentum top 1,VOO,2012-04-03,2012-05-02,29,9770.72201,9681.808245,-88.91376551,-0.00910001998
Momentum top 1,VOO,2012-08-02,2013-01-03,154,9884.598105,10660.91118,776.3130754,0.07853764687
Momentum top 1,VOO,2013-02-04,2013-05-02,87,10836.64357,11607.49645,770.8528815,0.07113391491
Momentum top 1,VOO,2013-06-04,2013-07-02,28,10986.14489,10840.4946,-145.6502928,-0.01325763443
Momentum top 1,VOO,2014-01-03,2015-04-02,454,11443.73754,13144.5316,1700.794062,0.1486222535
Momentum top 1,VOO,2015-07-02,2015-09-02,62,13403.08776,12601.71221,-801.3755536,-0.05979036828
Momentum top 1,VOO,2015-11-03,2015-12-02,29,12613.88626,12442.2528,-171.6334618,-0.01360670758
Momentum top 1,VOO,2016-04-04,2016-05-03,29,11490.58648,11463.38419,-27.20229315,-0.002367354633
Momentum top 1,VOO,2016-09-02,2016-11-02,61,11691.37081,11259.2332,-432.1376116,-0.03696209952
Momentum top 1,VOO,2016-12-02,2017-04-04,123,10939.19048,11827.17329,887.9828088,0.08117445346
Momentum top 1,VOO,2017-05-02,2017-06-02,31,11950.00098,12192.71964,242.7186631,0.02031118354
Momentum top 1,VOO,2018-06-04,2019-01-03,213,13545.42517,12194.78201,-1350.643166,-0.09971212781
Momentum top 1,VOO,2019-03-04,2019-06-04,92,12184.59887,12268.22521,83.62633479,0.006863281728
Momentum top 1,VOO,2019-07-02,2019-08-02,31,12405.3442,12225.02136,-180.3228426,-0.01453589999
Momentum top 1,VOO,2019-11-04,2020-04-02,150,12358.87443,10208.00346,-2150.870967,-0.1740345353
Momentum top 1,VOO,2020-06-02,2020-07-02,30,10435.68959,10599.43531,163.7457151,0.01569093385
Momentum top 1,VOO,2020-08-04,2021-02-02,182,10731.44605,12490.49228,1759.046228,0.1639151163
Momentum top 1,VOO,2021-03-02,2021-04-05,34,12623.89146,13287.79174,663.9002712,0.05259077782
Momentum top 1,VOO,2021-07-02,2022-06-02,335,13959.62425,13542.87016,-416.754096,-0.02985424883
