strategy,frequency,confidence,observations,tail_observations,var,cvar
Buy & Hold VOO,daily,0.95,3779,189,0.01603957127,0.02533238821
Buy & Hold VOO,daily,0.99,3779,38,0.03029808195,0.04279185142
60/40 annual rebalance,daily,0.95,3779,189,0.009810795636,0.01530781364
60/40 annual rebalance,daily,0.99,3779,38,0.01787482556,0.02617246347
VOO 200-day trend,daily,0.95,3779,189,0.01345753385,0.02202688538
VOO 200-day trend,daily,0.99,3779,38,0.0256991967,0.03928179804
Momentum top 1,daily,0.95,3779,189,0.01539787903,0.02478246692
Momentum top 1,daily,0.99,3779,38,0.03028562353,0.04283006133
Buy & Hold VOO,monthly,0.95,179,9,0.06017010612,0.08328650649
Buy & Hold VOO,monthly,0.99,179,2,0.08924575893,0.1082014446
60/40 annual rebalance,monthly,0.95,179,9,0.03857747815,0.05384925177
60/40 annual rebalance,monthly,0.99,179,2,0.0691392709,0.07412341186
VOO 200-day trend,monthly,0.95,179,9,0.05623882389,0.07653291135
VOO 200-day trend,monthly,0.99,179,2,0.08515800631,0.1121628435
Momentum top 1,monthly,0.95,179,9,0.05660850383,0.08110137384
Momentum top 1,monthly,0.99,179,2,0.08798164488,0.106442997
