month,return
2010-09,0.035598
2010-10,0.037754
2010-11,-0.001108
2010-12,0.06921
2011-01,0.022234
2011-02,0.034664
2011-03,2.4e-05
2011-04,0.029363
2011-05,-0.011698
2011-06,-0.016812
2011-07,-0.02055
2011-08,-0.055161
2011-09,-0.067856
2011-10,0.107419
2011-11,-0.002966
2011-12,0.011262
2012-01,0.044735
2012-02,0.042819
2012-03,0.033027
2012-04,-0.00637
2012-05,-0.060037
2012-06,0.041358
2012-07,0.012042
2012-08,0.025067
2012-09,0.025517
2012-10,-0.019569
2012-11,0.005726
2012-12,0.010133
2013-01,0.051695
2013-02,0.013273
2013-03,0.036125
2013-04,0.020938
2013-05,0.023243
2013-06,-0.015078
2013-07,0.053041
2013-08,-0.030817
2013-09,0.033897
2013-10,0.044676
2013-11,0.02996
2013-12,0.026374
2014-01,-0.035294
2014-02,0.045655
2014-03,0.008804
2014-04,0.007237
2014-05,0.022945
2014-06,0.02089
2014-07,-0.013766
2014-08,0.039726
2014-09,-0.013806
2014-10,0.024033
2014-11,0.027578
2014-12,-0.008578
2015-01,-0.028715
2015-02,0.055796
2015-03,-0.015707
2015-04,0.010042
2015-05,0.012507
2015-06,-0.01947
2015-07,0.021764
2015-08,-0.061363
2015-09,-0.024656
2015-10,0.084514
2015-11,0.004251
2015-12,-0.017382
2016-01,-0.049109
2016-02,-0.002082
2016-03,0.068734
2016-04,0.0035
2016-05,0.017545
2016-06,0.003223
2016-07,0.036837
2016-08,0.001204
2016-09,0.00029
2016-10,-0.017917
2016-11,0.037257
2016-12,0.02072
2017-01,0.017827
2017-02,0.038761
2017-03,0.001319
2017-04,0.0104
2017-05,0.014044
2017-06,0.006297
2017-07,0.020625
2017-08,0.002912
2017-09,0.020422
2017-10,0.023271
2017-11,0.030577
2017-12,0.012827
2018-01,0.055852
2018-02,-0.03726
2018-03,-0.024676
2018-04,0.00347
2018-05,0.024164
2018-06,0.007585
2018-07,0.03563
2018-08,0.032198
2018-09,0.005761
2018-10,-0.068377
2018-11,0.018851
2018-12,-0.088472
2019-01,0.079196
2019-02,0.032499
2019-03,0.019256
2019-04,0.040341
2019-05,-0.063479
2019-06,0.069912
2019-07,0.014601
2019-08,-0.016405
2019-09,0.019723
2019-10,0.021826
2019-11,0.03626
2019-12,0.029737
2020-01,-0.000372
2020-02,-0.080997
2020-03,-0.124414
2020-04,0.127861
2020-05,0.04736
2020-06,0.018421
2020-07,0.058815
2020-08,0.06971
2020-09,-0.037563
2020-10,-0.025451
2020-11,0.109466
2020-12,0.037444
2021-01,-0.010213
2021-02,0.027662
2021-03,0.045753
2021-04,0.052896
2021-05,0.006674
2021-06,0.022595
2021-07,0.024472
2021-08,0.029517
2021-09,-0.046636
2021-10,0.070385
2021-11,-0.007343
2021-12,0.045602
2022-01,-0.052409
2022-02,-0.029805
2022-03,0.037892
2022-04,-0.087844
2022-05,0.002588
2022-06,-0.082645
2022-07,0.091991
2022-08,-0.041289
2022-09,-0.091989
2022-10,0.081176
2022-11,0.05505
2022-12,-0.057324
2023-01,0.062902
2023-02,-0.024984
2023-03,0.0371
2023-04,0.015901
2023-05,0.004816
2023-06,0.065099
2023-07,0.032901
2023-08,-0.016283
2023-09,-0.047439
2023-10,-0.021721
2023-11,0.091704
2023-12,0.045786
2024-01,0.016072
2024-02,0.052071
2024-03,0.032801
2024-04,-0.040087
2024-05,0.050257
2024-06,0.035671
2024-07,0.011597
2024-08,0.023936
2024-09,0.021763
2024-10,-0.009475
2024-11,0.05889
2024-12,-0.023336
2025-01,0.026948
2025-02,-0.012651
2025-03,-0.05608
2025-04,-0.008114
2025-05,0.062816
2025-06,0.051727
2025-07,0.022869
2025-08,0.020757
2025-09,0.035495
2025-10,0.023939
2025-11,0.002185
2025-12,0.000787
2026-01,0.014495
2026-02,-0.008142
2026-03,-0.050082
2026-04,0.105481
2026-05,0.052847
2026-06,-0.009605
2026-07,-0.000233
2026-08,0.026564
2026-09,0.01103
